variable,shapiro_p,levene_p,no_normal,heterocedastica,n_outliers_z3,medida,roi,hemi
1_comp_thickness_lh,0.3076140021613309,0.2771787748294045,False,False,0,thickness,Ínsula posterior,lh
1_comp_thickness_rh,0.6307091918471508,0.34723123194082256,False,False,0,thickness,Ínsula posterior,rh
1_comp_area_lh,0.38239243956330304,0.025203625901608167,False,True,1,area,Ínsula posterior,lh
1_comp_area_rh,0.9060008143995004,0.452816975468771,False,False,0,area,Ínsula posterior,rh
1_comp_volume_lh,0.6061644809967471,0.013405639345968981,False,True,0,volume,Ínsula posterior,lh
1_comp_volume_rh,0.9503776237557054,0.1288193335297355,False,False,0,volume,Ínsula posterior,rh
1_comp_LGI_lh,0.848445613405613,0.23647907728946746,False,False,0,LGI,Ínsula posterior,lh
1_comp_LGI_rh,0.8346951248991388,0.8279028198934361,False,False,0,LGI,Ínsula posterior,rh
2_supramarginal_thickness_lh,0.45498662274635426,0.3182099685187206,False,False,0,thickness,Giro supramarginal,lh
2_supramarginal_thickness_rh,0.6418495540672194,0.35274361837440327,False,False,0,thickness,Giro supramarginal,rh
2_supramarginal_area_lh,0.16343068676364886,0.08131797972161625,False,False,0,area,Giro supramarginal,lh
2_supramarginal_area_rh,0.7138706968671585,0.5002089697660451,False,False,0,area,Giro supramarginal,rh
2_supramarginal_volume_lh,0.5551878654877943,0.5222371840336769,False,False,0,volume,Giro supramarginal,lh
2_supramarginal_volume_rh,0.872156448038162,0.6720384239229735,False,False,0,volume,Giro supramarginal,rh
2_supramarginal_LGI_lh,0.6242573919658879,0.9478267357187132,False,False,0,LGI,Giro supramarginal,lh
2_supramarginal_LGI_rh,0.9122446294282587,0.42587046406535106,False,False,0,LGI,Giro supramarginal,rh
3_superiortemporal_thickness_lh,0.9579009025493216,0.767726000425464,False,False,0,thickness,Temporal superior,lh
3_superiortemporal_thickness_rh,0.4408996324527131,0.2646921646900647,False,False,0,thickness,Temporal superior,rh
3_superiortemporal_area_lh,0.03577099265215506,0.17666460464926548,True,False,0,area,Temporal superior,lh
3_superiortemporal_area_rh,0.11307489412795396,0.4372350097079999,False,False,0,area,Temporal superior,rh
3_superiortemporal_volume_lh,0.02426017043295649,0.08830846509933142,True,False,0,volume,Temporal superior,lh
3_superiortemporal_volume_rh,0.016468909778632128,0.20624813345026027,True,False,0,volume,Temporal superior,rh
3_superiortemporal_LGI_lh,0.7993139283172527,0.7011865656929426,False,False,0,LGI,Temporal superior,lh
3_superiortemporal_LGI_rh,0.6919306096532948,0.7989827071722974,False,False,0,LGI,Temporal superior,rh
4_Hippocampus_volume_lh,0.3203435157997223,0.09107812968166988,False,False,0,volume,Hipocampo,lh
4_Hippocampus_volume_rh,0.14183927742230495,0.7328012660909149,False,False,0,volume,Hipocampo,rh
5_parahippocampal_thickness_lh,0.5104317666517767,0.14590617959894486,False,False,0,thickness,Corteza parahipocampal,lh
5_parahippocampal_thickness_rh,0.6384430558045706,0.23739740819742633,False,False,0,thickness,Corteza parahipocampal,rh
5_parahippocampal_area_lh,0.0010532307360297695,0.2065197842024643,True,False,1,area,Corteza parahipocampal,lh
5_parahippocampal_area_rh,0.39771956785451484,0.232266303755717,False,False,0,area,Corteza parahipocampal,rh
