Variable,N,Sano,Vestibular,MPPP,p (Kruskal-Wallis)
Edad (años),46,43.0 [32.5–49.8],45.0 [33.0–57.0],48.0 [34.0–60.0],0.8158938587452027
Nivel educacional (2–4),46,4.0 [4.0–4.0],4.0 [4.0–4.0],4.0 [4.0–4.0],0.7488624518695096
"Lateralidad (Edinburgh, imputado)",46,100.0 [64.3–100.0],88.9 [63.3–100.0],88.2 [80.0–100.0],0.8543216831321082
eTIV (mm³),46,1669939.2 [1507806.0–1777031.4],1529088.3 [1498226.6–1648387.7],1567662.8 [1515671.8–1612000.4],0.5346826950840693
SurfaceHoles (calidad de superficie),46,29.0 [23.0–29.8],26.0 [23.5–32.0],25.0 [20.0–32.0],0.8957601682902232
DHI,35,1.0 [1.0–33.0],34.0 [21.0–54.0],46.0 [40.0–63.0],0.01475692907797143
Niigata,35,1.0 [0.0–8.8],17.0 [8.0–30.0],30.0 [27.2–43.2],0.004129786007179144
BDI,33,3.0 [1.0–7.0],16.0 [8.5–22.0],12.0 [10.0–16.0],0.054604168389985205
STAI-Rasgo,34,20.0 [20.0–21.0],23.0 [20.5–26.0],27.0 [23.8–31.0],0.004255050783554712
STAI-Estado,35,17.0 [16.0–21.0],19.0 [18.0–20.0],20.0 [18.0–24.0],0.4976680526314399
MOCA,45,26.0 [25.0–27.0],27.0 [26.0–28.5],24.0 [22.0–27.0],0.019479316530530526
CSE no inmersivo,46,28.0 [22.5–44.2],38.0 [25.6–63.1],60.9 [42.2–80.1],0.01608599700979366
Entropy-Ratio (NI),46,0.5 [0.5–0.6],0.5 [0.5–0.6],0.6 [0.6–0.6],0.005801337558144905
Entropía total (NI),46,-8.3 [-8.8–-8.0],-8.3 [-9.2–-7.7],-7.5 [-8.3–-7.3],0.01600063056958432
Sexo,46,Femenino:5 / Masculino:5,Femenino:16 / Masculino:3,Femenino:13 / Masculino:4,0.13079500599876878
