variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi_n,roi,tipo,atlas,medida,hemi,familia_fdr,compuesta,ajusta_etiv,n_esperado,modelo,p_fdr,sobrevive_fdr,n_familia
9_superiorparietal_thickness_lh,46,"Q('9_superiorparietal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.15028831689377103,2,40,0.8609434420905473,0.8993352142406312,0.8592140785921408,0.0074583705468755515,6.322411390284429e-05,0.02196139084013452,0.8392614660015,0.8204311197914886,0.5697363578822233,19,17,10,2.396,2.3899473684210526,2.4027000000000003,0.016999802663780095,0.18609749502231485,-1.0383214189977865,1.201201525442298,0.6558261417257152,0.01464487334291606,0.16031799297543936,-0.647949307369004,0.8344809094360811,0.6375773350090209,A2,9,Parietal superior,C,DKT,thickness,lh,thickness,False,False,46,A_sin_ansiedad,0.9698030196980302,False,18
9_superiorparietal_thickness_rh,46,"Q('9_superiorparietal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.35440972711287283,2,40,0.7037682401636652,0.6964832178292687,0.7019298070192981,0.017411938339866723,1.0542706745333065e-05,0.06656417625357273,0.7621136544853812,0.3300538403664043,0.9094097018268108,19,17,10,2.3597647058823528,2.3472631578947367,2.3781,-0.0018238625096067551,-0.019032197103345232,-1.0730041470454454,0.9340707399947341,0.9635998441999352,0.02403640556109604,0.2508224199385281,-0.48418461958980075,0.9164272702597513,0.46200660689366885,A2,9,Parietal superior,C,DKT,thickness,rh,thickness,False,False,46,A_sin_ansiedad,0.9698030196980302,False,18
9_superiorparietal_area_lh,46,"Q('9_superiorparietal_area_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",4.129362428849718,2,39,0.023624403494806587,0.0868065800822023,0.0216978302169783,0.1747555585252723,0.02226388284132411,0.40681110303694484,0.46449532269536675,0.8655872755101333,0.2879224010683022,19,17,10,4346.117647058823,4552.8421052631575,4199.4,396.86406606976584,0.8937977065093528,0.03578878510246308,1.7734547773166307,0.038697778573312636,-123.49624530063056,-0.27813216224221193,-1.0112678087589961,0.35034465083446376,0.4164721248914885,A2,9,Parietal superior,C,DKT,area,lh,area,False,True,46,A_sin_ansiedad,0.39056094390560947,False,18
9_superiorparietal_area_rh,46,"Q('9_superiorparietal_area_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.182458890116814,2,39,0.31727263180475246,0.2629517032011905,0.32486751324867513,0.05717206529451178,0.0005522489112469598,0.17509076023088638,0.8177211418403235,0.16261199467686693,0.6615003629371339,19,17,10,4439.411764705882,4511.1578947368425,4408.5,335.6369238917721,0.599106248294835,-0.1459732518919264,1.413043185466358,0.1594887126458346,20.960253838033964,0.03741369958527314,-0.6509859749004505,0.8653619282199364,0.912596576890276,A2,9,Parietal superior,C,DKT,area,rh,area,False,True,46,A_sin_ansiedad,0.6497350264973503,False,18
9_superiorparietal_volume_lh,46,"Q('9_superiorparietal_volume_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",4.282244016199575,2,39,0.020832659712617572,0.0453806382711081,0.022897710228977103,0.18006055329693324,0.031647342114210185,0.3910156200997772,0.353114331368487,0.4574642005171205,0.3880478042709251,19,17,10,11022.588235294117,11503.947368421053,10574.1,1173.7909406241051,0.9960414559655248,0.14055076411979045,1.8197564823880201,0.02206727057484693,-206.05055979672488,-0.17484791582504275,-0.9169402222534595,0.48852578516253964,0.6085560457011299,A2,9,Parietal superior,C,DKT,volume,lh,volume,False,True,46,A_sin_ansiedad,0.5495450454954505,False,24
9_superiorparietal_volume_rh,46,"Q('9_superiorparietal_volume_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.9264333786488481,2,39,0.4045017030473292,0.24259489159214948,0.40555944405559446,0.04535463247427335,0.00027978922823333665,0.1473972465017311,0.9856539152978895,0.13067913997739206,0.20565630042096172,19,17,10,11048.529411764706,11244.578947368422,11113.8,778.1120761937718,0.5449368011443718,-0.22765777689799616,1.2843677389250077,0.19970479823805865,99.35227377739056,0.06957957846317823,-0.6773061855334482,0.9385271122346062,0.8382810194384458,A2,9,Parietal superior,C,DKT,volume,rh,volume,False,True,46,A_sin_ansiedad,0.7147050000882265,False,24
9_superiorparietal_LGI_lh,45,"Q('9_superiorparietal_LGI_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.4266767413247585,2,39,0.2523595474501132,0.29222525834820623,0.25877412258774124,0.06817502649655986,0.0003180640986392982,0.21142572292629652,0.6195395012718887,0.8628842287074385,0.7037408848955233,18,17,10,2.730176470588235,2.8002777777777776,2.7634999999999996,-0.0217538318082387,-0.1660339157852851,-1.078530830700768,0.8013328632623441,0.6909025650838649,-0.07422857978810843,-0.5665421096403136,-1.298048336620025,0.2514063955175423,0.10537385580777167,A2,9,Parietal superior,C,DKT,LGI,lh,LGI,False,False,45,A_sin_ansiedad,0.5175482451754825,False,18
9_superiorparietal_LGI_rh,45,"Q('9_superiorparietal_LGI_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.0229457609045725,2,39,0.36897829767022683,0.2753250839472747,0.36246375362463756,0.049844002553144445,0.00044193940867000525,0.1498892135660582,0.7484132717406331,0.7617261971091276,0.10172523463267925,18,17,10,2.760882352941177,2.774,2.7212,0.05907100388265768,0.4643205015076367,-0.3740925176764706,1.2112964047560213,0.2694430058879132,-0.014694582530432654,-0.1155049936772612,-0.9074073042520225,0.7314511796908865,0.7371795960336617,A2,9,Parietal superior,C,DKT,LGI,rh,LGI,False,False,45,A_sin_ansiedad,0.6047395260473952,False,18
10_inferiorparietal_thickness_lh,46,"Q('10_inferiorparietal_thickness_lh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.16790228577396607,2,40,0.8460291817859484,0.854945344941305,0.8469153084691531,0.008325223089384015,1.136113512336006e-05,0.028496490826772632,0.9548229021115696,0.7421512003561626,0.85728790436239,19,17,10,2.5244117647058824,2.52,2.5214,0.025499318975034768,0.23909659424598323,-0.688352524506754,1.057989947353346,0.5672241453942278,0.010549557328018266,0.09891884682886842,-0.6449516290814455,0.8753181425790555,0.7711110991590813,A2,10,Parietal inferior,C,DKT,thickness,lh,thickness,False,False,46,A_sin_ansiedad,0.9698030196980302,False,18
10_inferiorparietal_thickness_rh,46,"Q('10_inferiorparietal_thickness_rh') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.02830116637673816,2,40,0.9721150072098381,0.9754782682187064,0.9698030196980302,0.00141305875828599,3.5217261869705714e-05,0.0019709949843019995,0.974600004156917,0.6673169322568944,0.8108690259450357,19,17,10,2.515529411764706,2.529736842105263,2.5453,-0.008334905940796888,-0.08217023329237695,-0.9972505396008782,0.6768871023203127,0.8438372798066179,-0.006950770765287134,-0.06852464315762521,-0.7865917457186052,0.7450962073212158,0.8402387954513179,A2,10,Parietal inferior,C,DKT,thickness,rh,thickness,False,False,46,A_sin_ansiedad,0.9698030196980302,False,18
