variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,familia_fdr,roi,hemi,medida,atlas,tipo,ajusta_etiv,n_esperado,bloque,modelo,p_fdr,sobrevive_fdr,n_familia
hipp_lh_Hippocampal_tail,46,"Q('hipp_lh_Hippocampal_tail') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",3.1637417161387766,2,39,0.05329770199959107,0.060366178441737854,0.052394760523947606,0.13959485400797197,0.010806106974874021,0.3147985334053882,0.03531616831971902,0.6336157933894091,0.14197335163412206,19,17,10,566.4689600588235,594.6161217894736,656.0693715,-66.56758505555638,-1.0452160246214937,-1.8597355802090707,-0.11411738782277032,0.016647960805277983,-17.997859931246353,-0.2825947733169506,-0.9940417379467904,0.45148584492014465,0.4090986723647082,A3,hipocampo_posterior,Hippocampal tail,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.4367563243675633,False,18
hipp_rh_Hippocampal_tail,46,"Q('hipp_rh_Hippocampal_tail') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.8470685717360621,2,39,0.43640414994645915,0.28537475047289723,0.4380561943805619,0.04163098820597271,0.00010578593079213006,0.13752856320453663,0.10265299149912491,0.003988724339721868,0.20637054006135902,19,17,10,602.8259510588235,607.2621859473684,675.8025955,-43.1777065411444,-0.46203991087283613,-1.375563314887646,0.5364408328591956,0.2754735388319193,4.689479712553677,0.050181609029270276,-0.8085955421812954,0.9207581941265797,0.8829637829829194,A3,hipocampo_posterior,Hippocampal tail,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_Whole_hippocampal_body,46,"Q('hipp_lh_Whole_hippocampal_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.8927770618217129,2,39,0.41772039312278,0.45404506504822745,0.41415858414158585,0.043779082128697584,0.00019402562004361166,0.17439992138069474,0.21013419350578608,0.15587698654909987,0.7759681518674181,19,17,10,1230.5786401764706,1270.8727074736842,1371.5890341,-64.01639642346231,-0.5558108417319345,-1.4582560863495722,0.3236802379292702,0.19106688312837353,-26.507756215496244,-0.23014882307808354,-0.9290475940695894,0.5927560613933829,0.5007698466046373,A3,hipocampo_posterior,Whole hippocampal body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_rh_Whole_hippocampal_body,46,"Q('hipp_rh_Whole_hippocampal_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.33902668000798936,2,39,0.7145421836066439,0.7311852378649768,0.7175282471752825,0.017088876660951838,1.8925312292228584e-06,0.06918341651756782,0.20031819594553424,0.013592706150037886,0.22572321052852312,19,17,10,1243.173604764706,1298.7120944736841,1356.7633572999998,-35.34612635717201,-0.23448195111735565,-1.0434146394107733,0.5693966305970086,0.5777898065536379,-40.045745263486296,-0.2656586577110327,-1.0649438355126537,0.5901764310495383,0.4375095626727726,A3,hipocampo_posterior,Whole hippocampal body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_CA1_body,46,"Q('hipp_lh_CA1_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.2837785895396256,2,39,0.7544747046325814,0.8051318481243169,0.7456254374562544,0.014344003510515896,3.191418197556745e-05,0.061791132461932304,0.493462024650724,0.16046925212913593,0.20007333649617662,19,17,10,132.47032564705881,138.807423,144.92442020000001,-6.377606210801616,-0.2988312856576827,-1.3455455918233334,0.6556823124597864,0.4786439830589908,-3.7514655795411773,-0.17577994708047764,-0.8986031263979548,0.5811832661182761,0.6066534298304243,A3,hipocampo_posterior,CA1 body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_rh_CA1_body,46,"Q('hipp_rh_CA1_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.3547955019176603,2,39,0.7035569607833017,0.7714915740423518,0.7041295870412959,0.01786951177026188,2.3946069268434315e-05,0.0752738120044904,0.6644104475866719,0.09873848198161533,0.615019376608811,19,17,10,137.64791823529413,145.06240057894738,146.9206945,-1.4855507051874781,-0.07039303966714297,-0.8330356195585873,0.7165426599214527,0.8670510708987756,-5.848095440618556,-0.2771128665559398,-1.021235355708169,0.6012872926486129,0.4181676418268626,A3,hipocampo_posterior,CA1 body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_CA3_body,46,"Q('hipp_lh_CA3_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.07966867208729138,2,39,0.9235721387140629,0.9270809691248768,0.9166083391660834,0.004068948939920865,5.4176033669205185e-05,0.01032507671916441,0.8368504174458603,0.004744298714261909,0.7664400541863765,19,17,10,92.00507858823529,97.12547163157895,99.6416317,-1.81157386779158,-0.07850872471212873,-0.9764273424755988,0.7812789331375507,0.8518978303750548,-3.1154920587449775,-0.13501702179056432,-0.8346027201789925,0.6002070536899602,0.6922963313789058,A3,hipocampo_posterior,CA3 body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.9166083391660834,False,18
hipp_rh_CA3_body,46,"Q('hipp_rh_CA3_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.30779668627036966,2,39,0.7368339261724683,0.6536269024187492,0.7382261773822618,0.01553916829546805,8.578138189405248e-05,0.058912853416796196,0.9762278662853073,0.001810863703551944,0.550142696602149,19,17,10,105.31000688235294,108.2266092105263,105.3083197,6.323835174338406,0.26105875464677203,-0.5059188458458773,0.9523368570457845,0.5356479454037871,-1.3301234615274726,-0.05490977623861672,-0.8426654940381422,0.7197801398087652,0.8720309644785553,A3,hipocampo_posterior,CA3 body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
hipp_lh_CA4_body,46,"Q('hipp_lh_CA4_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",2.379556891815772,2,39,0.10590677312678667,0.16904795606946774,0.10278972102789721,0.10875708788718041,0.0039872355392692954,0.3041833724522002,0.1964793022317202,0.6291964674414879,0.558898397990865,19,17,10,126.2885427647059,127.58824968421052,143.4642969,-9.565938083606035,-0.8063781027350766,-1.7836135270210551,0.1505117068085887,0.06085545836586952,0.38073414073764944,0.032094675019970535,-0.6014367988925704,0.7554966782068918,0.9249812694590777,A3,hipocampo_posterior,CA4 body,lh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.4625537446255375,False,18
hipp_rh_CA4_body,46,"Q('hipp_rh_CA4_body') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.36261266561836086,2,39,0.698177157009011,0.6037578181112374,0.6982301769823017,0.018256040719458497,1.3365850163117383e-05,0.06555884522734685,0.26980740655986646,0.05878087249072312,0.3328373997397812,19,17,10,132.3499150588235,134.85122157894736,146.3602092,-5.960716771519557,-0.3284117840123141,-1.102391684576138,0.39619743471593366,0.4365140748397069,-0.24382776289088248,-0.013433939855242038,-0.7462029628559861,0.8448290628918967,0.9685594849950091,A3,hipocampo_posterior,CA4 body,rh,volume,hipp,S,True,46,Subcampo hipocampal,A_sin_ansiedad,0.7894857573066224,False,18
