variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,atlas,medida,hemi,roi,tipo,familia_fdr,ajusta_etiv,modelo,p_fdr,sobrevive_fdr,n_familia
ctx_DK_thickness_lh_bankssts,46,"Q('ctx_DK_thickness_lh_bankssts') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.1372632043033022,2,40,0.8721495924974738,0.8767219170966526,0.8725637181409296,0.006816378318676852,3.498158289948026e-05,0.02153830706139099,0.6779562116577373,0.4180617342679105,0.884033354589231,19,17,10.0,2.589470588235294,2.5679473684210525,2.6077,-0.012911213819783773,-0.08236901581087919,-0.9275600350864328,0.6929149673997247,0.843464560140223,0.018823078715169583,0.12008464037079919,-0.5788168759480097,0.9183873136172683,0.724027380587696,A4,DK,thickness,lh,bankssts,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_caudalanteriorcingulate,46,"Q('ctx_DK_thickness_lh_caudalanteriorcingulate') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.36468224807828303,2,40,0.6967021495572346,0.6950243068270354,0.6926536731634183,0.017907583513251054,0.00012403265420024543,0.06006231987594924,0.5655097444093033,0.804188862563193,0.336363005378499,19,17,10.0,2.487882352941176,2.438736842105263,2.4736000000000002,0.005746140800987343,0.032833758519148215,-0.7235598850409459,1.22575301916955,0.9372482416425245,0.047537143283211736,0.271629801167234,-0.34918405824171767,1.0446026691295585,0.42597529345753865,A4,DK,thickness,lh,caudalanteriorcingulate,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_caudalmiddlefrontal,46,"Q('ctx_DK_thickness_lh_caudalmiddlefrontal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.3318868507815045,2,40,0.2754320565815329,0.29289987083058994,0.28285857071464265,0.06243642956191238,0.00015915536977966733,0.21891603098948031,0.24712920326590782,0.14522741994334293,0.30371733478642177,19,17,10.0,2.675117647058823,2.6424736842105263,2.731,-0.03177098248159527,-0.2614332174432267,-1.5322329740528924,0.8119297590551022,0.5317461897857569,0.045074774738419476,0.3709058538627222,-0.42531396192395954,1.1256269255120008,0.2786558049989993,A4,DK,thickness,lh,caudalmiddlefrontal,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_cuneus,46,"Q('ctx_DK_thickness_lh_cuneus') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.280933455192836,2,40,0.2889258764439518,0.23245177821453314,0.28835582208895555,0.06019160098826731,0.0011206270039271894,0.1709951842361411,0.21364393692146963,0.6418780651470717,0.06574281208215008,19,17,10.0,1.814235294117647,1.8014210526315788,1.8943,-0.07149157158498254,-0.5214690509072546,-1.2421328296823384,0.14324582056203783,0.21559001147598447,0.016927667476469538,0.12347266254365594,-0.7131767681995096,0.8674174801764347,0.7165848523972592,A4,DK,thickness,lh,cuneus,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_entorhinal,46,"Q('ctx_DK_thickness_lh_entorhinal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.4209323900621009,2,40,0.6593083319320407,0.6345980288838659,0.6336831584207896,0.020612789956003612,0.0001844673266447533,0.0678300611483184,0.7662423818047359,0.08502164809110524,0.18080828123755438,19,17,10.0,2.8315882352941175,2.864526315789474,2.9143999999999997,-0.04641683057294621,-0.2607503539456319,-1.2010322291741777,0.49951860998469133,0.5328132788935611,-0.05236413216100827,-0.2941598085543758,-0.9579801694101718,0.43206556565123905,0.38894240798377394,A4,DK,thickness,lh,entorhinal,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_fusiform,46,"Q('ctx_DK_thickness_lh_fusiform') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.20884381821711,2,40,0.3092146300845504,0.3359451423670383,0.29985007496251875,0.056997157816721086,0.0005257931323031065,0.17953016736848432,0.22684987154011868,0.4566577224533781,0.8783417064472718,19,17,10.0,2.6870000000000003,2.666421052631579,2.7403,-0.033112833556645516,-0.3933778222167864,-1.212970618263881,0.5749166142088568,0.34822227433851033,0.02034663081022564,0.24171635157357899,-0.4204438389409326,1.0228270016932248,0.4783153148399562,A4,DK,thickness,lh,fusiform,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_inferiorparietal,46,"Q('ctx_DK_thickness_lh_inferiorparietal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.2775284339605559,2,40,0.7591009450597593,0.7598566757182722,0.7481259370314842,0.013686502024366769,0.00017737927357621455,0.04813611257015158,0.908136434400661,0.46269586953460556,0.7867944487267928,19,17,10.0,2.5242941176470586,2.519263157894737,2.5149999999999997,0.03307825384993934,0.30874450547225735,-0.4859315411112127,1.2140249365702775,0.46063946865270233,0.011118320457740527,0.10377574242521496,-0.6510527818415135,0.9478005731630677,0.76022172018708,A4,DK,thickness,lh,inferiorparietal,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_inferiortemporal,46,"Q('ctx_DK_thickness_lh_inferiortemporal') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.013923071214734748,2,40,0.9861781835517105,0.9844296942046505,0.9890054972513743,0.0006956692680986554,0.00029549716426164913,0.0005677159312379478,0.7592154105283789,0.8881528293855497,0.9760577739767329,19,17,10.0,2.739470588235294,2.7413684210526315,2.7892,-0.005090906877581736,-0.041886566752300514,-0.9267978647743221,0.9105304123881203,0.9200003222446564,0.003189482528791976,0.026242175718405963,-0.6175454897011324,0.8423509685822199,0.9384509168097805,A4,DK,thickness,lh,inferiortemporal,C,DK_thickness,False,A4_tres_grupos,0.999000499750125,False,68
ctx_DK_thickness_lh_isthmuscingulate,46,"Q('ctx_DK_thickness_lh_isthmuscingulate') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.5753969652974622,2,40,0.5670684111468713,0.60242426224186,0.5727136431784108,0.027965291083711714,5.1329931969177656e-05,0.11883789918635276,0.6334177490140147,0.3224134229068607,0.7658398036816597,19,17,10.0,2.3198823529411765,2.284315789473684,2.3381,-0.010359932674461003,-0.083427015816536,-0.9547469303183294,0.7859837856969628,0.8414814112930175,0.03649520297004771,0.2938905078906092,-0.43985927192551855,1.069418631930121,0.3893727146329009,A4,DK,thickness,lh,isthmuscingulate,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
ctx_DK_thickness_lh_lateraloccipital,46,"Q('ctx_DK_thickness_lh_lateraloccipital') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.39339048343574495,2,40,0.6773470028631619,0.6940515138331446,0.6866566716641679,0.019290097139819447,0.00026008378972862726,0.06747069120918237,0.76255266573583,0.857018504734659,0.8008386101030738,19,17,10.0,2.130352941176471,2.1346315789473684,2.1761,-0.030378758472373923,-0.2749202573030276,-1.0416169660891814,0.6275086737022633,0.510903088284034,0.009469739943485378,0.08569880642829035,-0.6010734895347,0.9843983134659514,0.8009830276401075,A4,DK,thickness,lh,lateraloccipital,C,DK_thickness,False,A4_tres_grupos,0.9695455302651704,False,68
