medida,diseno,hemi,contraste,n_clusters,CWP_min,size_mm2_max,anotacion_pico
thickness,tres_grupos,lh,MPPP_vs_Vestibular,0,,,
thickness,tres_grupos,lh,MPPP_vs_Voluntario_Sano,0,,,
thickness,tres_grupos,lh,Vestibular_vs_Voluntario_Sano,0,,,
thickness,tres_grupos,rh,MPPP_vs_Vestibular,0,,,
thickness,tres_grupos,rh,MPPP_vs_Voluntario_Sano,0,,,
thickness,tres_grupos,rh,Vestibular_vs_Voluntario_Sano,0,,,
thickness,dirigido,lh,MPPP_vs_Vestibular,0,,,
thickness,dirigido,rh,MPPP_vs_Vestibular,0,,,
area,tres_grupos,lh,MPPP_vs_Vestibular,0,,,
area,tres_grupos,lh,MPPP_vs_Voluntario_Sano,0,,,
area,tres_grupos,lh,Vestibular_vs_Voluntario_Sano,0,,,
area,tres_grupos,rh,MPPP_vs_Vestibular,0,,,
area,tres_grupos,rh,MPPP_vs_Voluntario_Sano,0,,,
area,tres_grupos,rh,Vestibular_vs_Voluntario_Sano,0,,,
area,dirigido,lh,MPPP_vs_Vestibular,0,,,
area,dirigido,rh,MPPP_vs_Vestibular,0,,,
volume,tres_grupos,lh,MPPP_vs_Vestibular,0,,,
volume,tres_grupos,lh,MPPP_vs_Voluntario_Sano,0,,,
volume,tres_grupos,lh,Vestibular_vs_Voluntario_Sano,0,,,
volume,tres_grupos,rh,MPPP_vs_Vestibular,0,,,
volume,tres_grupos,rh,MPPP_vs_Voluntario_Sano,0,,,
volume,tres_grupos,rh,Vestibular_vs_Voluntario_Sano,0,,,
volume,dirigido,lh,MPPP_vs_Vestibular,0,,,
volume,dirigido,rh,MPPP_vs_Vestibular,0,,,
pial_lgi,tres_grupos,lh,MPPP_vs_Vestibular,1,0.0002,785.64,superiorfrontal
pial_lgi,tres_grupos,lh,MPPP_vs_Voluntario_Sano,0,,,
pial_lgi,tres_grupos,lh,Vestibular_vs_Voluntario_Sano,0,,,
pial_lgi,tres_grupos,rh,MPPP_vs_Vestibular,3,0.0002,220.83,lateraloccipital
pial_lgi,tres_grupos,rh,MPPP_vs_Voluntario_Sano,0,,,
pial_lgi,tres_grupos,rh,Vestibular_vs_Voluntario_Sano,0,,,
pial_lgi,dirigido,lh,MPPP_vs_Vestibular,1,0.0002,605.89,superiorfrontal
pial_lgi,dirigido,rh,MPPP_vs_Vestibular,2,0.0014,188.07,caudalanteriorcingulate
