variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,media_MPPP,media_Vestibular,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi_n,roi,tipo,atlas,medida,hemi,familia_fdr,compuesta,ajusta_etiv,n_esperado,etapa_origen,modelo,p_fdr,sobrevive_fdr,n_familia
1_comp_thickness_lh,36,"Q('1_comp_thickness_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.172229113684072,1,31,0.6809965296624254,0.6935180686623302,0.681031896810319,0.00552508173399978,5.747701815354403e-08,0.06664604797142787,0.6920355168654702,0.34353742728181474,0.5860367505008583,19,17,2.767667612871746,2.7862645779361888,-0.01627856225471036,-0.14055267008762978,-0.8719987302669587,0.5812500572538278,0.6809965296624663,AD,1,Ínsula posterior,C,DS,thickness,lh,A1_thickness,True,False,46,A1,AD_sin_ansiedad,0.9571812049564273,False,14
1_comp_thickness_rh,36,"Q('1_comp_thickness_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.020331451054355174,1,31,0.8875380030485154,0.8969437877020855,0.8888111188881112,0.0006554233982456085,5.9109705775288045e-08,0.0049005823258134506,0.7876649183903306,0.3111344872822895,0.38338279469742037,19,17,2.8528683128881704,2.8528447077426624,0.005189782024806577,0.04829142319545825,-0.6921379847018517,0.7378928561989133,0.8875380030485002,AD,1,Ínsula posterior,C,DS,thickness,rh,A1_thickness,True,False,46,A1,AD_sin_ansiedad,0.9571812049564273,False,14
1_comp_area_lh,36,"Q('1_comp_area_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",2.540123453737419,1,30,0.12146901996008425,0.177684984718167,0.11348865113488651,0.07806127279599093,2.62533156726266e-05,0.32777805799734977,0.10950396340823117,0.49072081926022065,0.7021934730621338,19,17,1631.8823529411766,1688.8947368421052,-46.803701888832165,-0.5423762087073941,-1.3149131707124135,0.37326950659024205,0.12146901996008623,AD,1,Ínsula posterior,C,DS,area,lh,A1_area,True,True,46,A1,AD_sin_ansiedad,0.422057794220578,False,14
1_comp_area_rh,36,"Q('1_comp_area_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",0.8872686471975746,1,30,0.3537424879196281,0.3885718248469027,0.35166483351664835,0.0287260313410094,3.850156117078989e-06,0.2021645935529713,0.3835011923656185,0.6030271932392577,0.45420820799972905,19,17,1362.235294117647,1391.157894736842,-31.114890746708,-0.32055369435113146,-1.002095119076485,0.5419704630472387,0.35374248791962193,AD,1,Ínsula posterior,C,DS,area,rh,A1_area,True,True,46,A1,AD_sin_ansiedad,0.7443255674432556,False,14
1_comp_volume_lh,36,"Q('1_comp_volume_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",2.550634817794811,1,30,0.12073133607997748,0.14389378370494607,0.11698830116988301,0.07835898845206016,0.0001151433933557225,0.30518863910238,0.0785970856181919,0.7559839900520144,0.5715297280084768,19,17,3833.0,3992.7894736842104,-129.88484312104708,-0.5434972620877145,-1.2672826419346228,0.2895817167647254,0.1207313360799774,AD,1,Ínsula posterior,C,DS,volume,lh,A1_volume,True,True,46,A1,AD_sin_ansiedad,0.4114788521147886,False,16
1_comp_volume_rh,36,"Q('1_comp_volume_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",0.6236871195266639,1,30,0.43587838232812154,0.4625790824589149,0.4403559644035596,0.02036616678757081,9.567093367737407e-06,0.1649283659590523,0.4375454955608403,0.24209296177466244,0.2896359579451458,19,17,3361.1176470588234,3434.0,-69.83237422661341,-0.268755033113855,-0.9749693439223193,0.5464384028815751,0.43587838232811965,AD,1,Ínsula posterior,C,DS,volume,rh,A1_volume,True,True,46,A1,AD_sin_ansiedad,0.731340199313402,False,16
1_comp_LGI_lh,35,"Q('1_comp_LGI_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",6.673850888153973,1,30,0.014901345319793195,0.018301977938187754,0.0165983401659834,0.18197845948895688,0.002322189922366328,0.42993997574598714,0.09889265136523176,0.8819802096834353,0.8985252068190646,18,17,3.9732834993392627,4.143108244307357,-0.18316708197195364,-0.8851556560168242,-1.6325057283821485,-0.015015969029097161,0.014901345319793076,AD,1,Ínsula posterior,C,DS,LGI,lh,A1_LGI,True,False,45,A1,AD_sin_ansiedad,0.04647535246475352,True,14
1_comp_LGI_rh,35,"Q('1_comp_LGI_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",9.160151653958057,1,30,0.005040862896632072,0.010175579975164446,0.0046995300469953,0.2339151220583235,0.017262360281598225,0.44645844274308616,0.07470593331212996,0.08314859533864094,0.32649121790955277,18,17,4.023037840423349,4.221812744518153,-0.20122148568533738,-1.037009490882294,-1.7302110138040974,-0.16256820394512023,0.005040862896631863,AD,1,Ínsula posterior,C,DS,LGI,rh,A1_LGI,True,False,45,A1,AD_sin_ansiedad,0.04339566043395661,True,14
2_supramarginal_thickness_lh,36,"Q('2_supramarginal_thickness_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.25173834996717354,1,31,0.6193986486710825,0.65389191163948,0.6251374862513749,0.00805517911189852,1.313664304323109e-07,0.08123821839830846,0.5576519882816194,0.936689663985917,0.24061804847138904,19,17,2.6505294117647056,2.6411052631578946,0.01779504271421528,0.16992626342565567,-0.619925721661911,1.0243379242342967,0.6193986486710596,AD,2,Giro supramarginal,C,DKT,thickness,lh,A1_thickness,False,False,46,A1,AD_sin_ansiedad,0.9571812049564273,False,14
2_supramarginal_thickness_rh,36,"Q('2_supramarginal_thickness_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.11642584423667375,1,31,0.7352457412449142,0.7581482242522464,0.7288271172882712,0.0037416200954274417,7.142193050933065e-09,0.04073554166975786,0.7876382402792166,0.8579539343345132,0.6795676484343,19,17,2.6468823529411765,2.6676315789473684,-0.011631075173816452,-0.11556079340605159,-0.8143890091903979,0.6721176605916687,0.7352457412449439,AD,2,Giro supramarginal,C,DKT,thickness,rh,A1_thickness,False,False,46,A1,AD_sin_ansiedad,0.9571812049564273,False,14
2_supramarginal_area_lh,36,"Q('2_supramarginal_area_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",1.6667056192596044,1,30,0.2065605850536273,0.2788242531278918,0.2034796520347965,0.052632744286665506,8.695098229087378e-05,0.28840421436095487,0.7155543412978354,0.7414165145748308,0.5782828417272159,19,17,3644.0,3834.157894736842,-161.93233844763506,-0.43934194520781256,-1.2024317344877375,0.3587900515027758,0.20656058505362754,AD,2,Giro supramarginal,C,DKT,area,lh,A1_area,False,True,46,A1,AD_sin_ansiedad,0.5697430256974302,False,14
2_supramarginal_area_rh,36,"Q('2_supramarginal_area_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",2.54337757080822,1,30,0.12124008940701578,0.17036411519166936,0.12058794120587941,0.07815346041677182,2.2483559224128927e-05,0.28778337644787066,0.2812812265466296,0.22042024426388807,0.6533158415443531,19,17,3363.9411764705883,3605.3684210526317,-189.81175225173678,-0.5427235128460296,-1.205491175887095,0.4635456103330694,0.12124008940701714,AD,2,Giro supramarginal,C,DKT,area,rh,A1_area,False,True,46,A1,AD_sin_ansiedad,0.422057794220578,False,14
2_supramarginal_volume_lh,36,"Q('2_supramarginal_volume_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",0.7956495401471074,1,30,0.37949633515174014,0.44208296834019545,0.37816218378162186,0.02583642663908906,4.208469730182746e-06,0.1833823754225242,0.4956930259286003,0.9479859170831844,0.4075224834974648,19,17,10072.64705882353,10534.052631578947,-338.1533845846559,-0.303552718636702,-1.0152925236218873,0.586826838311939,0.3794963351517429,AD,2,Giro supramarginal,C,DKT,volume,lh,A1_volume,False,True,46,A1,AD_sin_ansiedad,0.731340199313402,False,16
2_supramarginal_volume_rh,36,"Q('2_supramarginal_volume_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",2.44843270427973,1,30,0.1281309734965049,0.1901278061189007,0.12858714128587143,0.07545611606556266,8.159530890976968e-06,0.3079037165403021,0.14062420591550992,0.03970138837606945,0.9890612160838518,19,17,9266.235294117647,10013.736842105263,-590.7960906767146,-0.532497170778424,-1.273181026166083,0.47988790129511477,0.1281309734965054,AD,2,Giro supramarginal,C,DKT,volume,rh,A1_volume,False,True,46,A1,AD_sin_ansiedad,0.4114788521147886,False,16
2_supramarginal_LGI_lh,35,"Q('2_supramarginal_LGI_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",6.557933734984686,1,30,0.015713636087210943,0.017598728014846788,0.0156984301569843,0.17938469341632862,0.004667021508476608,0.4067571380582161,0.05770718749402907,0.44180145425977985,0.3871156562315836,18,17,3.282705882352941,3.397444444444444,-0.11515410728197539,-0.8774349136109699,-1.552139980341756,-0.07176352649966015,0.01571363608721112,AD,2,Giro supramarginal,C,DKT,LGI,lh,A1_LGI,False,False,45,A1,AD_sin_ansiedad,0.04647535246475352,True,14
2_supramarginal_LGI_rh,35,"Q('2_supramarginal_LGI_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",5.227157855619808,1,30,0.02946835131396773,0.039059912318108896,0.029697030296970302,0.1483843197638471,0.0010713139462949757,0.3843905652645975,0.10582627217257615,0.34350645829327847,0.36504412032435246,18,17,3.2535882352941177,3.3644444444444446,-0.09960140014584129,-0.7833650780084659,-1.4613855022692044,0.14368899419696998,0.029468351313966724,AD,2,Giro supramarginal,C,DKT,LGI,rh,A1_LGI,False,False,45,A1,AD_sin_ansiedad,0.059394060593940604,False,14
3_superiortemporal_thickness_lh,36,"Q('3_superiortemporal_thickness_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.03691048145122806,1,31,0.8489004156120209,0.8629325514139867,0.8501149885011499,0.0011892447050516539,4.5999076091301666e-08,0.013327163355724966,0.8865964008204282,0.20555765469175086,0.7497350706414316,19,17,2.864235294117647,2.878842105263158,-0.008794535646548307,-0.06506698330560493,-0.8693246816540424,0.6993691948662794,0.8489004156120243,AD,3,Temporal superior,C,DKT,thickness,lh,A1_thickness,False,False,46,A1,AD_sin_ansiedad,0.9571812049564273,False,14
3_superiortemporal_thickness_rh,36,"Q('3_superiortemporal_thickness_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.05407897070812864,1,31,0.8176402589731449,0.8304374959320286,0.818018198180182,0.001741445004990772,1.4355537644205491e-08,0.017331317575108116,0.7876515805913492,0.24188080519144023,0.487987377641257,19,17,2.9121176470588237,2.9322105263157896,-0.010263082883547492,-0.07875896957861495,-0.8524253196426342,0.65553198941719,0.8176402589731497,AD,3,Temporal superior,C,DKT,thickness,rh,A1_thickness,False,False,46,A1,AD_sin_ansiedad,0.9571812049564273,False,14
3_superiortemporal_area_lh,36,"Q('3_superiortemporal_area_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",0.5434907236817209,1,30,0.4667167378180774,0.48108945481965987,0.46935306469353066,0.017793995080605782,1.9770138380296617e-06,0.1249828919446176,0.5366366481831104,0.008473297093786341,0.19748759401113714,19,17,5157.235294117647,5271.421052631579,-87.32572307537112,-0.2508818749595282,-0.8903114662607013,0.5385437093102541,0.4667167378180731,AD,3,Temporal superior,C,DKT,area,lh,A1_area,False,True,46,A1,AD_sin_ansiedad,0.8213678632136787,False,14
3_superiortemporal_area_rh,36,"Q('3_superiortemporal_area_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",2.5743837501172337,1,30,0.11908370091329837,0.1283267431962428,0.11528847115288471,0.07903092718087011,0.00048141299183848826,0.28471836895486696,0.2474378074811281,0.2786833892413706,0.47065760253462857,19,17,4761.470588235294,4983.9473684210525,-190.67991546607118,-0.5460216480410246,-1.155861870859535,0.20272757338331113,0.11908370091329896,AD,3,Temporal superior,C,DKT,area,rh,A1_area,False,True,46,A1,AD_sin_ansiedad,0.422057794220578,False,14
3_superiortemporal_volume_lh,36,"Q('3_superiortemporal_volume_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",0.2607556440409942,1,30,0.6133387826963613,0.6386175738279399,0.6193380661933806,0.008616957458309298,1.7541632748905945e-08,0.08013154237055917,0.6458971906446955,0.11517006457188117,0.09179145500516232,19,17,16073.117647058823,16440.157894736843,-208.67452886603996,-0.17377611248877098,-0.8272356276463305,0.6590494748997494,0.6133387826963658,AD,3,Temporal superior,C,DKT,volume,lh,A1_volume,False,True,46,A1,AD_sin_ansiedad,0.731340199313402,False,16
3_superiortemporal_volume_rh,36,"Q('3_superiortemporal_volume_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",2.936799141522538,1,30,0.09689887949376526,0.0964067546042454,0.09679032096790322,0.0891646795702195,0.0003140518575506221,0.27171128900441993,0.24740738370624227,0.19844653998681488,0.3010882072230469,19,17,15043.0,16008.473684210527,-801.8337056637151,-0.5831903659463854,-1.1783534917794705,0.18245850642022182,0.09689887949376652,AD,3,Temporal superior,C,DKT,volume,rh,A1_volume,False,True,46,A1,AD_sin_ansiedad,0.4114788521147886,False,16
3_superiortemporal_LGI_lh,35,"Q('3_superiortemporal_LGI_lh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",7.50209983827675,1,30,0.010270278894486524,0.013989075176019522,0.0108989101089891,0.20004479404163084,0.011379399556850156,0.4717757355279019,0.031915293562807194,0.21847246255974961,0.6361764155073647,18,17,3.4610000000000003,3.5862777777777777,-0.12978161897076768,-0.9384752398599553,-1.697345233971264,-0.13208226755560915,0.010270278894486349,AD,3,Temporal superior,C,DKT,LGI,lh,A1_LGI,False,False,45,A1,AD_sin_ansiedad,0.04647535246475352,True,14
3_superiortemporal_LGI_rh,35,"Q('3_superiortemporal_LGI_rh') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",9.127718589991103,1,30,0.005109537658123308,0.00954571792507845,0.006199380061993801,0.23328011238370486,0.02774325316514434,0.4690972883010094,0.04236216874888649,0.3164461277850541,0.43745271565235605,18,17,3.417470588235294,3.5597222222222222,-0.14200927810778197,-1.0351720093413375,-1.744778450204158,-0.22765235301582212,0.0051095376581232815,AD,3,Temporal superior,C,DKT,LGI,rh,A1_LGI,False,False,45,A1,AD_sin_ansiedad,0.04339566043395661,True,14
