variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
1_comp_thickness_lh,Ínsula posterior,lh,thickness,CSE_NI,46,0.30780418019996114,0.0473633676289384,0.04224174875184711,0.5574673707351774,Edad+Genero+Grupo,0.5021203200731235,17,0.18824488945782794,19,,10,thickness_CSE_NI,B,0.22102904893504588,False,14,2,2,True
1_comp_thickness_lh,Ínsula posterior,lh,thickness,EntropyRatio_NI,46,0.4489768184570677,0.0028593841643399084,0.2123442456753835,0.657563913234034,Edad+Genero+Grupo,0.54852122091699,17,0.6617036630529356,19,,10,thickness_EntropyRatio_NI,B,0.04003137830075872,True,14,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,CSE_NI,46,0.32389753790871495,0.036391384530741366,0.008776767320660676,0.5802841199254284,Edad+Genero+Grupo,0.1300563983696603,17,0.30062186250901596,19,,10,thickness_CSE_NI,B,0.22102904893504588,False,14,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,EntropyRatio_NI,46,0.3031815569264856,0.050967173578718564,-0.011404493111343507,0.5760294183872661,Edad+Genero+Grupo,0.18800709999181797,17,0.4433517389953287,19,,10,thickness_EntropyRatio_NI,B,0.23784681003401997,False,14,2,2,True
1_comp_area_lh,Ínsula posterior,lh,area,CSE_NI,46,-0.04140229346304214,0.7971666245091873,-0.3605116661694177,0.2643675852424225,Edad+Genero+Grupo+eTIV,-0.11266466438862871,17,0.1158971088449293,19,,10,area_CSE_NI,B,0.9491480807465154,False,14,1,2,False
1_comp_area_lh,Ínsula posterior,lh,area,EntropyRatio_NI,46,0.013503823850043162,0.9332183233105218,-0.2588426956650095,0.3028132888405422,Edad+Genero+Grupo+eTIV,0.1715814994728674,17,-0.007884602931418018,19,,10,area_EntropyRatio_NI,B,0.9807060693767871,False,14,1,2,False
1_comp_area_rh,Ínsula posterior,rh,area,CSE_NI,46,0.10179989299354725,0.5265196530155101,-0.22945845309156832,0.38872083634925714,Edad+Genero+Grupo+eTIV,-0.017103792217039154,17,0.3369354907418303,19,,10,area_CSE_NI,B,0.9087652138878615,False,14,1,2,False
1_comp_area_rh,Ínsula posterior,rh,area,EntropyRatio_NI,46,-0.003897379175656303,0.9807060693767871,-0.2812026208390248,0.2807811036090856,Edad+Genero+Grupo+eTIV,0.22969362173140187,17,0.11172076357460309,19,,10,area_EntropyRatio_NI,B,0.9807060693767871,False,14,0,2,False
1_comp_volume_lh,Ínsula posterior,lh,volume,CSE_NI,46,0.1446870963753011,0.36675907179791023,-0.18889192924124862,0.4493931234403268,Edad+Genero+Grupo+eTIV,-0.08727915365591303,17,0.40519617398381225,19,,10,volume_CSE_NI,B,0.633145336153102,False,16,1,2,False
1_comp_volume_lh,Ínsula posterior,lh,volume,EntropyRatio_NI,46,0.20328294048713721,0.20239731413921236,-0.09985674772110005,0.48205475582051815,Edad+Genero+Grupo+eTIV,0.05874589258192029,17,0.4538246501180053,19,,10,volume_EntropyRatio_NI,B,0.41436148106741777,False,16,2,2,True
