variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
idxred_LGI,Red DCNN,bilat,LGI,CSE_NI,35,0.217047613058578,0.232772836664132,-0.1456448203820211,0.534198142529693,Edad+Genero+Grupo,0.2102116926899497,17,0.259457954190577,18,LGI_CSE_NI,B,0.6073589346361596,False,15,2,2,True
idxred_LGI,Red DCNN,bilat,LGI,EntropyRatio_NI,35,0.07709521247575926,0.674930939378927,-0.2610829125875366,0.41449940766051563,Edad+Genero+Grupo,0.2925835429175753,17,0.006658628593616365,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,15,2,2,True
idxred_LGI,Red DCNN,bilat,LGI,Niigata,31,-0.034465226819331035,0.8617794323592705,-0.4440078049894335,0.3360018175787848,Edad+Genero+Grupo,-0.012779843462295978,14,-0.07616419713292913,17,LGI_Niigata,B,0.9742131553772617,False,15,2,2,True
idxred_LGI,Red DCNN,bilat,LGI,DHI,30,0.00872495545220895,0.9655487666095627,-0.3594290854736804,0.43332326564446677,Edad+Genero+Grupo,-0.27173629965294155,13,0.10156141191112877,17,LGI_DHI,B,0.9655487666095627,False,15,1,2,False
idxred_thickness,Red DCNN,bilat,thickness,CSE_NI,36,0.320767412820551,0.0687511947476048,-0.0027248037670618576,0.6115678127323897,Edad+Genero+Grupo,0.13346228661358664,17,0.4510412031071345,19,thickness_CSE_NI,B,0.2996141192813795,False,15,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,EntropyRatio_NI,36,0.33732962338752,0.05488464993067393,-0.018265415642823725,0.5832295930427968,Edad+Genero+Grupo,0.29266199669555265,17,0.559031567050416,19,thickness_EntropyRatio_NI,B,0.20581743724002724,False,15,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,Niigata,31,-0.5016364611427379,0.006534733868741814,-0.7494697316047706,-0.1344667254073733,Edad+Genero+Grupo,-0.6502090077983367,14,-0.3557441740460053,17,thickness_Niigata,B,0.032673669343709064,True,15,2,2,True
idxred_thickness,Red DCNN,bilat,thickness,DHI,30,-0.5639742432004203,0.0021850290789338154,-0.7960844646710135,-0.20526538919000006,Edad+Genero+Grupo,-0.23663046934686097,13,-0.6251070668278947,17,thickness_DHI,B,0.010925145394669076,True,15,2,2,True
idxred_volume,Red DCNN,bilat,volume,CSE_NI,36,0.1047080356010737,0.5684581709037996,-0.27451510855681144,0.42787310969213704,Edad+Genero+Grupo+eTIV,-0.1181967350883031,17,0.37339553910465556,19,volume_CSE_NI,B,0.8093293497443186,False,17,1,2,False
idxred_volume,Red DCNN,bilat,volume,EntropyRatio_NI,36,0.18873791966589684,0.3008933120706862,-0.12596307350765532,0.4734617984895108,Edad+Genero+Grupo+eTIV,0.07372892001782573,17,0.34763807682719455,19,volume_EntropyRatio_NI,B,0.5333949099287044,False,17,2,2,True
idxred_volume,Red DCNN,bilat,volume,Niigata,31,-0.3456150633573031,0.0774353117908865,-0.643918482239588,0.06280387936524086,Edad+Genero+Grupo+eTIV,-0.381133953333266,14,-0.3492609975041387,17,volume_Niigata,B,0.20160422448347234,False,17,2,2,True
idxred_volume,Red DCNN,bilat,volume,DHI,30,-0.40880373312212376,0.03811862867860962,-0.6667874957062012,-0.014519714602006097,Edad+Genero+Grupo+eTIV,-0.35848914532217246,13,-0.38306951747154455,17,volume_DHI,B,0.23755429398039496,False,17,2,2,True
idxred_area,Red DCNN,bilat,area,CSE_NI,36,0.1198436494697745,0.5135456535529042,-0.2863287432998736,0.47575606868105,Edad+Genero+Grupo+eTIV,0.44856635596649314,17,0.20106210994428927,19,area_CSE_NI,B,0.8492905484725146,False,15,2,2,True
idxred_area,Red DCNN,bilat,area,EntropyRatio_NI,36,0.20571166032070526,0.2586806383099225,-0.08055941026000661,0.5163781853388901,Edad+Genero+Grupo+eTIV,0.4758210166354206,17,0.1304064867591417,19,area_EntropyRatio_NI,B,0.8193805706435121,False,15,2,2,True
idxred_area,Red DCNN,bilat,area,Niigata,31,-0.12242524547787004,0.5429657616084542,-0.4509754474196789,0.25645642467568136,Edad+Genero+Grupo+eTIV,-0.12555765689471218,14,-0.17228835592937614,17,area_Niigata,B,0.927769393384201,False,15,2,2,True
idxred_area,Red DCNN,bilat,area,DHI,30,-0.011648013127169432,0.9549640922556978,-0.4588252182172151,0.45229816643983095,Edad+Genero+Grupo+eTIV,-0.03392434611656396,13,-0.02050506025824842,17,area_DHI,B,0.9549640922556978,False,15,2,2,True
1_comp_thickness_lh,Ínsula posterior,lh,thickness,CSE_NI,36,0.3527789721443803,0.04404263823102057,0.014686254169885376,0.62814325707561,Edad+Genero+Grupo,0.5021203200731235,17,0.18824488945782794,19,thickness_CSE_NI,B,0.2996141192813795,False,15,2,2,True
1_comp_thickness_lh,Ínsula posterior,lh,thickness,EntropyRatio_NI,36,0.5992338660090631,0.00022884633193496448,0.31086726534677,0.769597475206059,Edad+Genero+Grupo,0.54852122091699,17,0.6617036630529356,19,thickness_EntropyRatio_NI,B,0.0034326949790244674,True,15,2,2,True
1_comp_thickness_lh,Ínsula posterior,lh,thickness,Niigata,31,-0.3086694457707158,0.11000652756191326,-0.6122627432042022,0.04643205735847431,Edad+Genero+Grupo,-0.30313501437769297,14,-0.30977320934607344,17,thickness_Niigata,B,0.1650097913428699,False,15,2,2,True
1_comp_thickness_lh,Ínsula posterior,lh,thickness,DHI,30,-0.37714734935101485,0.05246674137130686,-0.6859624212526888,0.04477709616271973,Edad+Genero+Grupo,-0.23412551931882922,13,-0.5446181393229654,17,thickness_DHI,B,0.0874445689521781,False,15,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,CSE_NI,36,0.3092602539861749,0.07989709847503453,-0.06513443347747547,0.5904076392991574,Edad+Genero+Grupo,0.1300563983696603,17,0.30062186250901596,19,thickness_CSE_NI,B,0.2996141192813795,False,15,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,EntropyRatio_NI,36,0.3592517170344659,0.04004491338890798,-0.01912049325486961,0.6026667000821702,Edad+Genero+Grupo,0.18800709999181797,17,0.4433517389953287,19,thickness_EntropyRatio_NI,B,0.20022456694453988,False,15,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,Niigata,31,-0.35185549277910305,0.06633156617968122,-0.6849716225453227,0.07792911214595123,Edad+Genero+Grupo,-0.3211876232616705,14,-0.311533651334478,17,thickness_Niigata,B,0.11118061565447451,False,15,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,DHI,30,-0.4161042804734619,0.030864340332237977,-0.7417770319159491,-0.013391777947109879,Edad+Genero+Grupo,-0.33775785852247264,13,-0.422253548289581,17,thickness_DHI,B,0.059732875207435206,False,15,2,2,True
1_comp_area_lh,Ínsula posterior,lh,area,CSE_NI,36,-0.15169153074670375,0.4072354035171572,-0.493416610263541,0.19789488546525355,Edad+Genero+Grupo+eTIV,-0.11266466438862871,17,0.1158971088449293,19,area_CSE_NI,B,0.8492905484725146,False,15,1,2,False
1_comp_area_lh,Ínsula posterior,lh,area,EntropyRatio_NI,36,-0.022273574950495652,0.9036908671887608,-0.320921084767507,0.3125073759351532,Edad+Genero+Grupo+eTIV,0.1715814994728674,17,-0.007884602931418018,19,area_EntropyRatio_NI,B,0.9036908671887608,False,15,1,2,False
1_comp_area_lh,Ínsula posterior,lh,area,Niigata,31,0.005385840067296401,0.9787297085697452,-0.4022025814028667,0.4481629214881114,Edad+Genero+Grupo+eTIV,-0.535156595684879,14,0.15705402785307668,17,area_Niigata,B,0.9787297085697452,False,15,1,2,False
1_comp_area_lh,Ínsula posterior,lh,area,DHI,30,-0.07213215277049606,0.7262104344387492,-0.4507552202670686,0.38754103005388413,Edad+Genero+Grupo+eTIV,-0.28815100014429806,13,0.0576823341799465,17,area_DHI,B,0.9549640922556978,False,15,1,2,False
1_comp_area_rh,Ínsula posterior,rh,area,CSE_NI,36,0.10105339391510053,0.5821047689132995,-0.2953934055496663,0.4596364110299469,Edad+Genero+Grupo+eTIV,-0.017103792217039154,17,0.3369354907418303,19,area_CSE_NI,B,0.8492905484725146,False,15,1,2,False
1_comp_area_rh,Ínsula posterior,rh,area,EntropyRatio_NI,36,0.08199430405604871,0.6555044565148097,-0.26060838932296865,0.4102013028032656,Edad+Genero+Grupo+eTIV,0.22969362173140187,17,0.11172076357460309,19,area_EntropyRatio_NI,B,0.8193805706435121,False,15,2,2,True
1_comp_area_rh,Ínsula posterior,rh,area,Niigata,31,-0.02725620690054779,0.8926509885530466,-0.4029114446036608,0.47629079862180473,Edad+Genero+Grupo+eTIV,-0.2547979549185319,14,-0.054482617191044545,17,area_Niigata,B,0.9787297085697452,False,15,2,2,True
1_comp_area_rh,Ínsula posterior,rh,area,DHI,30,-0.026126164171254487,0.899187900071948,-0.4286321177432311,0.4979833030952346,Edad+Genero+Grupo+eTIV,-0.5150657110898649,13,0.14864723056470056,17,area_DHI,B,0.9549640922556978,False,15,1,2,False
1_comp_volume_lh,Ínsula posterior,lh,volume,CSE_NI,36,0.04570025013537529,0.803852916222795,-0.3962522743833705,0.39407149401414604,Edad+Genero+Grupo+eTIV,-0.08727915365591303,17,0.40519617398381225,19,volume_CSE_NI,B,0.8093293497443186,False,17,1,2,False
1_comp_volume_lh,Ínsula posterior,lh,volume,EntropyRatio_NI,36,0.1838690578213938,0.3137617117227673,-0.2098900884077024,0.43901248802717824,Edad+Genero+Grupo+eTIV,0.05874589258192029,17,0.4538246501180053,19,volume_EntropyRatio_NI,B,0.5333949099287044,False,17,2,2,True
1_comp_volume_lh,Ínsula posterior,lh,volume,Niigata,31,-0.1114797119889717,0.5798622690548876,-0.471047336460852,0.3727586842471195,Edad+Genero+Grupo+eTIV,-0.28941315040367166,14,-0.07459183765527366,17,volume_Niigata,B,0.7886236667308341,False,17,2,2,True
1_comp_volume_lh,Ínsula posterior,lh,volume,DHI,30,-0.3148879125325516,0.11715776884043166,-0.6266612396497467,0.19916017069860514,Edad+Genero+Grupo+eTIV,-0.3323775368509802,13,-0.20008675732470543,17,volume_DHI,B,0.3581520206875141,False,17,2,2,True
1_comp_volume_rh,Ínsula posterior,rh,volume,CSE_NI,36,0.21902548123195076,0.22843837615292012,-0.20585945108925036,0.5621718286719121,Edad+Genero+Grupo+eTIV,-0.005190681691075725,17,0.49424324594490526,19,volume_CSE_NI,B,0.7766904789199284,False,17,1,2,False
1_comp_volume_rh,Ínsula posterior,rh,volume,EntropyRatio_NI,36,0.18433284849834372,0.3125213269315791,-0.19844771985685875,0.4701922136963281,Edad+Genero+Grupo+eTIV,0.2784618227107517,17,0.31220045454096274,19,volume_EntropyRatio_NI,B,0.5333949099287044,False,17,2,2,True
1_comp_volume_rh,Ínsula posterior,rh,volume,Niigata,31,-0.17327348890999136,0.3874139508226571,-0.4950150318316722,0.2892697143744837,Edad+Genero+Grupo+eTIV,-0.30445132031225386,14,-0.25725804633407817,17,volume_Niigata,B,0.5987306512713791,False,17,2,2,True
1_comp_volume_rh,Ínsula posterior,rh,volume,DHI,30,-0.26210673919623545,0.19583415986542446,-0.6149554173064118,0.2823344260271422,Edad+Genero+Grupo+eTIV,-0.6015616306329037,13,-0.1670616126500951,17,volume_DHI,B,0.416147589714027,False,17,2,2,True
1_comp_LGI_lh,Ínsula posterior,lh,LGI,CSE_NI,35,0.16287553372468072,0.37310393776079687,-0.16209247656328776,0.48934794816177346,Edad+Genero+Grupo,0.3257969213787481,17,0.12184985256763729,18,LGI_CSE_NI,B,0.6218398962679949,False,15,2,2,True
1_comp_LGI_lh,Ínsula posterior,lh,LGI,EntropyRatio_NI,35,-0.06832985867130163,0.7101993903589462,-0.3846316129280841,0.2947532546049592,Edad+Genero+Grupo,0.2949078572082281,17,-0.2157739942630952,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,15,1,2,False
1_comp_LGI_lh,Ínsula posterior,lh,LGI,Niigata,31,0.09217074914327927,0.6408715220452534,-0.3217536438182755,0.4622872837232068,Edad+Genero+Grupo,0.0740777172115382,14,-0.007761300087330039,17,LGI_Niigata,B,0.9742131553772617,False,15,1,2,False
1_comp_LGI_lh,Ínsula posterior,lh,LGI,DHI,30,0.23804510855728306,0.23182488760478603,-0.16855956254328405,0.5663297815008953,Edad+Genero+Grupo,0.21505739205420465,13,0.24799210671876376,17,LGI_DHI,B,0.7023841445033355,False,15,2,2,True
1_comp_LGI_rh,Ínsula posterior,rh,LGI,CSE_NI,35,0.08511379219955235,0.6432479803314336,-0.29554935561591894,0.4194638274424944,Edad+Genero+Grupo,0.182141899646538,17,0.13137814575809953,18,LGI_CSE_NI,B,0.9033713472472739,False,15,2,2,True
1_comp_LGI_rh,Ínsula posterior,rh,LGI,EntropyRatio_NI,35,0.10598646249544202,0.5637189947419863,-0.2711140065251956,0.44567550191586147,Edad+Genero+Grupo,0.21030255342577284,17,-0.06115130828515616,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,15,1,2,False
1_comp_LGI_rh,Ínsula posterior,rh,LGI,Niigata,31,0.20354933405552247,0.298850314963296,-0.17720274058029134,0.5738223249699628,Edad+Genero+Grupo,-0.014414059730275888,14,0.3531368716775523,17,LGI_Niigata,B,0.9742131553772617,False,15,1,2,False
1_comp_LGI_rh,Ínsula posterior,rh,LGI,DHI,30,0.27357302206799144,0.1673495631465191,-0.12446297169291558,0.6046767144926061,Edad+Genero+Grupo,0.10221010937768964,13,0.4165996366127554,17,LGI_DHI,B,0.7023841445033355,False,15,2,2,True
2_supramarginal_thickness_lh,Giro supramarginal,lh,thickness,CSE_NI,36,0.12067874951356901,0.5035161252034968,-0.21338157408417346,0.4135089247865272,Edad+Genero+Grupo,0.15994024533373463,17,-0.1368150437558168,19,thickness_CSE_NI,B,0.7021775352116382,False,15,1,2,False
2_supramarginal_thickness_lh,Giro supramarginal,lh,thickness,EntropyRatio_NI,36,0.24106487998055406,0.17655274809256036,-0.17538883247201864,0.5659001455306876,Edad+Genero+Grupo,0.3545738569629224,17,0.13951896228261199,19,thickness_EntropyRatio_NI,B,0.44138187023140085,False,15,2,2,True
2_supramarginal_thickness_lh,Giro supramarginal,lh,thickness,Niigata,31,-0.395421129880228,0.037276778521959535,-0.6654421427662447,-0.08149840737524128,Edad+Genero+Grupo,-0.4565692655250658,14,-0.3282909324213947,17,thickness_Niigata,B,0.09319194630489883,False,15,2,2,True
2_supramarginal_thickness_lh,Giro supramarginal,lh,thickness,DHI,30,-0.4586585424474782,0.016116433019473544,-0.7412089548865364,-0.05921889331289973,Edad+Genero+Grupo,-0.24754660300755343,13,-0.5161011863606523,17,thickness_DHI,B,0.048349299058420635,True,15,2,2,True
2_supramarginal_thickness_rh,Giro supramarginal,rh,thickness,CSE_NI,36,0.15261458923515364,0.39650325187669627,-0.1617368554300422,0.4439277007613231,Edad+Genero+Grupo,-0.006102634949938542,17,0.3405354879037534,19,thickness_CSE_NI,B,0.6608387531278271,False,15,1,2,False
