variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,rho_Voluntario Sano,n_Voluntario Sano,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
9_superiorparietal_thickness_lh,Parietal superior,lh,thickness,CSE_NI,46,0.02273841404523355,0.8863431308004569,-0.34903392971716046,0.3212226075315971,Edad+Genero+Grupo,-0.22226560959465255,17,0.1800070779267092,19,,10,thickness_CSE_NI,B,0.9301761885570212,False,18,1,2,False
9_superiorparietal_thickness_lh,Parietal superior,lh,thickness,EntropyRatio_NI,46,-0.006872856388810301,0.9655441191003491,-0.34648166937077524,0.2956977847060045,Edad+Genero+Grupo,0.1010623509956345,17,0.021777763918943597,19,,10,thickness_EntropyRatio_NI,B,0.9655441191003491,False,18,0,2,False
9_superiorparietal_thickness_rh,Parietal superior,rh,thickness,CSE_NI,46,0.07372715336703636,0.642633825477299,-0.2416870831492548,0.32806642454267865,Edad+Genero+Grupo,-0.19636897473070047,17,0.19220829288094912,19,,10,thickness_CSE_NI,B,0.8898006814301063,False,18,1,2,False
9_superiorparietal_thickness_rh,Parietal superior,rh,thickness,EntropyRatio_NI,46,0.11564033170026768,0.46583644023712323,-0.20351699906473877,0.3934946057973235,Edad+Genero+Grupo,0.01794731648590876,17,0.2844480417450156,19,,10,thickness_EntropyRatio_NI,B,0.7482753102305698,False,18,2,2,True
9_superiorparietal_area_lh,Parietal superior,lh,area,CSE_NI,46,0.23208746841445935,0.1442490090244381,-0.05137034931661572,0.5133966036799396,Edad+Genero+Grupo+eTIV,-0.11928540013849762,17,0.13620102257452865,19,,10,area_CSE_NI,B,0.4327470270733143,False,18,1,2,False
9_superiorparietal_area_lh,Parietal superior,lh,area,EntropyRatio_NI,46,0.16993793226222062,0.2881299485825969,-0.13451391406413407,0.47605074177381346,Edad+Genero+Grupo+eTIV,-0.2855169286006356,17,0.07746630119846996,19,,10,area_EntropyRatio_NI,B,0.7409055820695348,False,18,1,2,False
9_superiorparietal_area_rh,Parietal superior,rh,area,CSE_NI,46,0.032935521532190364,0.8380223918283346,-0.3014983586249685,0.35449731884501395,Edad+Genero+Grupo+eTIV,0.19434062397208093,17,0.09750430723790258,19,,10,area_CSE_NI,B,0.9068644059286858,False,18,2,2,True
9_superiorparietal_area_rh,Parietal superior,rh,area,EntropyRatio_NI,46,0.009648796062890867,0.9522566845388596,-0.2734735809979382,0.3029892523208431,Edad+Genero+Grupo+eTIV,0.20598089597610436,17,0.0209428161053975,19,,10,area_EntropyRatio_NI,B,0.9522566845388596,False,18,2,2,True
9_superiorparietal_volume_lh,Parietal superior,lh,volume,CSE_NI,46,0.20355788634305017,0.20177444465537597,-0.09082028185805943,0.4799090456256704,Edad+Genero+Grupo+eTIV,-0.14271616979337762,17,0.17091676163383623,19,,10,volume_CSE_NI,B,0.9510861798303317,False,70,1,2,False
9_superiorparietal_volume_lh,Parietal superior,lh,volume,EntropyRatio_NI,46,0.09251793411890594,0.5650750602970127,-0.23961265649303928,0.3998670123474043,Edad+Genero+Grupo+eTIV,-0.20899445580232173,17,-0.017067983833987114,19,,10,volume_EntropyRatio_NI,B,0.8993401643040143,False,70,0,2,False
9_superiorparietal_volume_rh,Parietal superior,rh,volume,CSE_NI,46,0.07425221933318503,0.6445255171359504,-0.2753492409135217,0.3979451643522185,Edad+Genero+Grupo+eTIV,0.030614701762077944,17,0.20127760055989907,19,,10,volume_CSE_NI,B,0.997101858562917,False,70,2,2,True
9_superiorparietal_volume_rh,Parietal superior,rh,volume,EntropyRatio_NI,46,0.05284299445782262,0.7428166051528744,-0.24765177093482055,0.3498489520201515,Edad+Genero+Grupo+eTIV,0.14715250265989183,17,0.13852283521820166,19,,10,volume_EntropyRatio_NI,B,0.9470879809344869,False,70,2,2,True
9_superiorparietal_LGI_lh,Parietal superior,lh,LGI,CSE_NI,45,0.1537928664305904,0.3370408259694862,-0.13626521021065574,0.41666693424768153,Edad+Genero+Grupo,0.21092320453123853,17,0.32192142355055314,18,,10,LGI_CSE_NI,B,0.7597739921635027,False,18,2,2,True
9_superiorparietal_LGI_lh,Parietal superior,lh,LGI,EntropyRatio_NI,45,0.047511317121597035,0.7680096685564327,-0.21183813204997107,0.3337557935832154,Edad+Genero+Grupo,0.04195829979440517,17,0.08007618535067088,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,2,2,True
9_superiorparietal_LGI_rh,Parietal superior,rh,LGI,CSE_NI,45,0.014235756123557227,0.9296074393877863,-0.2863054675067034,0.28229163267441565,Edad+Genero+Grupo,0.046876220416050295,17,0.24047390398040006,18,,10,LGI_CSE_NI,B,0.9296074393877863,False,18,2,2,True
9_superiorparietal_LGI_rh,Parietal superior,rh,LGI,EntropyRatio_NI,45,-0.17035659358967564,0.28692624295338187,-0.43682360149977084,0.10649318635309428,Edad+Genero+Grupo,-0.09038912195977206,17,-0.06275438265081096,18,,10,LGI_EntropyRatio_NI,B,0.8694307920291662,False,18,2,2,True
10_inferiorparietal_thickness_lh,Parietal inferior,lh,thickness,CSE_NI,46,-0.10464719072013852,0.5095497046128058,-0.4444700330306671,0.23157572945510518,Edad+Genero+Grupo,-0.24661916173131546,17,-0.0676347014321819,19,,10,thickness_CSE_NI,B,0.8898006814301063,False,18,2,2,True
10_inferiorparietal_thickness_lh,Parietal inferior,lh,thickness,EntropyRatio_NI,46,0.025904531600031273,0.8706433444948831,-0.3000788173749593,0.3186662816023083,Edad+Genero+Grupo,0.02857244521635177,17,0.09295872098769371,19,,10,thickness_EntropyRatio_NI,B,0.921857658876935,False,18,2,2,True
10_inferiorparietal_thickness_rh,Parietal inferior,rh,thickness,CSE_NI,46,0.02478537180329801,0.8761876225899733,-0.28736264676277845,0.34240342758745135,Edad+Genero+Grupo,-0.06994178579577424,17,-0.04987676232477883,19,,10,thickness_CSE_NI,B,0.9301761885570212,False,18,0,2,False
10_inferiorparietal_thickness_rh,Parietal inferior,rh,thickness,EntropyRatio_NI,46,0.14386891821419637,0.3633603647828953,-0.16644458317081617,0.3885429276925588,Edad+Genero+Grupo,0.18636882600365584,17,0.1899153543354864,19,,10,thickness_EntropyRatio_NI,B,0.6540486566092115,False,18,2,2,True
10_inferiorparietal_area_lh,Parietal inferior,lh,area,CSE_NI,46,0.20577483398632185,0.1968011466233036,-0.08951236425445042,0.5123975642694789,Edad+Genero+Grupo+eTIV,0.49096318163279185,17,0.10925445230321065,19,,10,area_CSE_NI,B,0.44280257990243316,False,18,2,2,True
10_inferiorparietal_area_lh,Parietal inferior,lh,area,EntropyRatio_NI,46,-0.054081031555154035,0.7370032797996405,-0.36682940134072145,0.3246924719345809,Edad+Genero+Grupo+eTIV,0.6618955477363686,17,-0.3160776502381277,19,,10,area_EntropyRatio_NI,B,0.8844039357595685,False,18,1,2,False
10_inferiorparietal_area_rh,Parietal inferior,rh,area,CSE_NI,46,0.05892822491987596,0.7143843601841161,-0.24921165139355222,0.372490905654474,Edad+Genero+Grupo+eTIV,-0.021379513549461732,17,0.4593243433320848,19,,10,area_CSE_NI,B,0.8572612322209393,False,18,1,2,False
10_inferiorparietal_area_rh,Parietal inferior,rh,area,EntropyRatio_NI,46,0.01886869314885049,0.9067867193967006,-0.2855517803031371,0.3433399695242739,Edad+Genero+Grupo+eTIV,0.41819094965881404,17,-0.02039615524124265,19,,10,area_EntropyRatio_NI,B,0.9522566845388596,False,18,1,2,False
10_inferiorparietal_volume_lh,Parietal inferior,lh,volume,CSE_NI,46,0.10108825542567915,0.5294292799077559,-0.20091954668573891,0.38082422083559847,Edad+Genero+Grupo+eTIV,0.2172850290755926,17,-0.04110375526554667,19,,10,volume_CSE_NI,B,0.997101858562917,False,70,1,2,False
10_inferiorparietal_volume_lh,Parietal inferior,lh,volume,EntropyRatio_NI,46,-0.13293404441693624,0.4073555406912134,-0.43086947455319063,0.19099413570745588,Edad+Genero+Grupo+eTIV,0.5067136857594542,17,-0.36609779385056745,19,,10,volume_EntropyRatio_NI,B,0.8716044516344055,False,70,1,2,False
10_inferiorparietal_volume_rh,Parietal inferior,rh,volume,CSE_NI,46,-0.014457902781956255,0.9285117825080885,-0.35383336566743107,0.2869441842878625,Edad+Genero+Grupo+eTIV,-0.06306217009196437,17,0.35001072310706327,19,,10,volume_CSE_NI,B,0.997101858562917,False,70,1,2,False
10_inferiorparietal_volume_rh,Parietal inferior,rh,volume,EntropyRatio_NI,46,0.02024318391253091,0.9000296859512833,-0.30409974561144554,0.30845754349868965,Edad+Genero+Grupo+eTIV,0.28196820042110426,17,0.12197217472430734,19,,10,volume_EntropyRatio_NI,B,0.9732451962538051,False,70,2,2,True
