variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
1_comp_thickness_lh,Ínsula posterior,lh,thickness,Niigata,31,-0.3086694457707158,0.11000652756191326,-0.6114961189625503,0.05806157259982186,Edad+Genero+Grupo,-0.30313501437769297,14,-0.30977320934607344,17,thickness_Niigata,B,0.1600094946355102,False,32,2,2,True
1_comp_thickness_lh,Ínsula posterior,lh,thickness,DHI,30,-0.37714734935101485,0.05246674137130686,-0.6846708771945863,0.05080118280864493,Edad+Genero+Grupo,-0.23412551931882922,13,-0.5446181393229654,17,thickness_DHI,B,0.08394678619409097,False,32,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,Niigata,31,-0.35185549277910305,0.06633156617968122,-0.6774656010513296,0.08519560107809016,Edad+Genero+Grupo,-0.3211876232616705,14,-0.311533651334478,17,thickness_Niigata,B,0.10673339102829553,False,32,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,DHI,30,-0.4161042804734619,0.030864340332237977,-0.7414142308047373,0.0017006536770713579,Edad+Genero+Grupo,-0.33775785852247264,13,-0.422253548289581,17,thickness_DHI,B,0.0536547931687839,False,32,2,2,True
1_comp_area_lh,Ínsula posterior,lh,area,Niigata,31,0.005385840067296401,0.9787297085697452,-0.4019542705211595,0.4495707621793059,Edad+Genero+Grupo+eTIV,-0.535156595684879,14,0.15705402785307668,17,area_Niigata,B,0.9787297085697452,False,32,1,2,False
1_comp_area_lh,Ínsula posterior,lh,area,DHI,30,-0.07213215277049606,0.7262104344387492,-0.4507355755868489,0.39012914869439497,Edad+Genero+Grupo+eTIV,-0.28815100014429806,13,0.0576823341799465,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
1_comp_area_rh,Ínsula posterior,rh,area,Niigata,31,-0.02725620690054779,0.8926509885530466,-0.4002443003849883,0.477989451948662,Edad+Genero+Grupo+eTIV,-0.2547979549185319,14,-0.054482617191044545,17,area_Niigata,B,0.9521610544565831,False,32,2,2,True
1_comp_area_rh,Ínsula posterior,rh,area,DHI,30,-0.026126164171254487,0.899187900071948,-0.4263457649317421,0.5034059851678956,Edad+Genero+Grupo+eTIV,-0.5150657110898649,13,0.14864723056470056,17,area_DHI,B,0.9548585268453689,False,32,1,2,False
1_comp_volume_lh,Ínsula posterior,lh,volume,Niigata,31,-0.1114797119889717,0.5798622690548876,-0.47094412793972157,0.37651599129636926,Edad+Genero+Grupo+eTIV,-0.28941315040367166,14,-0.07459183765527366,17,volume_Niigata,B,0.845222968452887,False,86,2,2,True
1_comp_volume_lh,Ínsula posterior,lh,volume,DHI,30,-0.3148879125325516,0.11715776884043166,-0.6184250547403106,0.1872863094729564,Edad+Genero+Grupo+eTIV,-0.3323775368509802,13,-0.20008675732470543,17,volume_DHI,B,0.7655335340193865,False,86,2,2,True
