variable,roi,hemi,medida,outcome,n,rho,p,ic_low,ic_high,covariables,rho_MPPP,n_MPPP,rho_Vestibular,n_Vestibular,familia_fdr,etapa,p_fdr,sobrevive_fdr,n_familia,grupos_mismo_signo,grupos_validos,coherente
1_comp_thickness_lh,Ínsula posterior,lh,thickness,CSE_NI,36,0.3527789721443803,0.04404263823102057,0.02358425371248212,0.6293295211527855,Edad+Genero+Grupo,0.5021203200731235,17,0.18824488945782794,19,thickness_CSE_NI,B,0.7046822116963292,False,32,2,2,True
1_comp_thickness_lh,Ínsula posterior,lh,thickness,EntropyRatio_NI,36,0.5992338660090631,0.00022884633193496448,0.29897038772264234,0.7665182304938292,Edad+Genero+Grupo,0.54852122091699,17,0.6617036630529356,19,thickness_EntropyRatio_NI,B,0.0073230826219188635,True,32,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,CSE_NI,36,0.3092602539861749,0.07989709847503453,-0.063569655677112,0.588993229093222,Edad+Genero+Grupo,0.1300563983696603,17,0.30062186250901596,19,thickness_CSE_NI,B,0.8522357170670349,False,32,2,2,True
1_comp_thickness_rh,Ínsula posterior,rh,thickness,EntropyRatio_NI,36,0.3592517170344659,0.04004491338890798,-0.017770216022337505,0.5995104958787315,Edad+Genero+Grupo,0.18800709999181797,17,0.4433517389953287,19,thickness_EntropyRatio_NI,B,0.42714574281501844,False,32,2,2,True
1_comp_area_lh,Ínsula posterior,lh,area,CSE_NI,36,-0.15169153074670375,0.4072354035171572,-0.48944366670852035,0.19693546049090846,Edad+Genero+Grupo+eTIV,-0.11266466438862871,17,0.1158971088449293,19,area_CSE_NI,B,0.7923800571519417,False,32,1,2,False
1_comp_area_lh,Ínsula posterior,lh,area,EntropyRatio_NI,36,-0.022273574950495652,0.9036908671887608,-0.32216200965168534,0.3094460004316938,Edad+Genero+Grupo+eTIV,0.1715814994728674,17,-0.007884602931418018,19,area_EntropyRatio_NI,B,0.9322826549021819,False,32,1,2,False
1_comp_area_rh,Ínsula posterior,rh,area,CSE_NI,36,0.10105339391510053,0.5821047689132995,-0.3030604954755442,0.46242231499264713,Edad+Genero+Grupo+eTIV,-0.017103792217039154,17,0.3369354907418303,19,area_CSE_NI,B,0.8283662970165219,False,32,1,2,False
1_comp_area_rh,Ínsula posterior,rh,area,EntropyRatio_NI,36,0.08199430405604871,0.6555044565148097,-0.26156854249447437,0.4181491799460276,Edad+Genero+Grupo+eTIV,0.22969362173140187,17,0.11172076357460309,19,area_EntropyRatio_NI,B,0.9322826549021819,False,32,2,2,True
1_comp_volume_lh,Ínsula posterior,lh,volume,CSE_NI,36,0.04570025013537529,0.803852916222795,-0.402984412485724,0.3836257786834349,Edad+Genero+Grupo+eTIV,-0.08727915365591303,17,0.40519617398381225,19,volume_CSE_NI,B,0.9567684641457884,False,86,1,2,False
1_comp_volume_lh,Ínsula posterior,lh,volume,EntropyRatio_NI,36,0.1838690578213938,0.3137617117227673,-0.2282028843649261,0.4333251874986415,Edad+Genero+Grupo+eTIV,0.05874589258192029,17,0.4538246501180053,19,volume_EntropyRatio_NI,B,0.9304657657985513,False,86,2,2,True
1_comp_volume_rh,Ínsula posterior,rh,volume,CSE_NI,36,0.21902548123195076,0.22843837615292012,-0.2097560168904609,0.5674512909735607,Edad+Genero+Grupo+eTIV,-0.005190681691075725,17,0.49424324594490526,19,volume_CSE_NI,B,0.9567684641457884,False,86,1,2,False
1_comp_volume_rh,Ínsula posterior,rh,volume,EntropyRatio_NI,36,0.18433284849834372,0.3125213269315791,-0.19543720200722917,0.4796278591670457,Edad+Genero+Grupo+eTIV,0.2784618227107517,17,0.31220045454096274,19,volume_EntropyRatio_NI,B,0.9304657657985513,False,86,2,2,True
1_comp_LGI_lh,Ínsula posterior,lh,LGI,CSE_NI,35,0.16287553372468072,0.37310393776079687,-0.15993578775696998,0.4883090913489595,Edad+Genero+Grupo,0.3257969213787481,17,0.12184985256763729,18,LGI_CSE_NI,B,0.6900426619345573,False,32,2,2,True
1_comp_LGI_lh,Ínsula posterior,lh,LGI,EntropyRatio_NI,35,-0.06832985867130163,0.7101993903589462,-0.38356691702911483,0.2953174154817334,Edad+Genero+Grupo,0.2949078572082281,17,-0.2157739942630952,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,32,1,2,False
1_comp_LGI_rh,Ínsula posterior,rh,LGI,CSE_NI,35,0.08511379219955235,0.6432479803314336,-0.3010274315754928,0.41390539495930595,Edad+Genero+Grupo,0.182141899646538,17,0.13137814575809953,18,LGI_CSE_NI,B,0.8949537117654728,False,32,2,2,True
1_comp_LGI_rh,Ínsula posterior,rh,LGI,EntropyRatio_NI,35,0.10598646249544202,0.5637189947419863,-0.2654529212353839,0.43668392505193804,Edad+Genero+Grupo,0.21030255342577284,17,-0.06115130828515616,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,32,1,2,False
2_supramarginal_thickness_lh,Giro supramarginal,lh,thickness,CSE_NI,36,0.12067874951356901,0.5035161252034968,-0.20947846678920656,0.4213359455481472,Edad+Genero+Grupo,0.15994024533373463,17,-0.1368150437558168,19,thickness_CSE_NI,B,0.8851692565092167,False,32,1,2,False
2_supramarginal_thickness_lh,Giro supramarginal,lh,thickness,EntropyRatio_NI,36,0.24106487998055406,0.17655274809256036,-0.160486816897769,0.5638931295063403,Edad+Genero+Grupo,0.3545738569629224,17,0.13951896228261199,19,thickness_EntropyRatio_NI,B,0.6010247887081233,False,32,2,2,True
2_supramarginal_thickness_rh,Giro supramarginal,rh,thickness,CSE_NI,36,0.15261458923515364,0.39650325187669627,-0.1736621021157014,0.45249734884562615,Edad+Genero+Grupo,-0.006102634949938542,17,0.3405354879037534,19,thickness_CSE_NI,B,0.8851692565092167,False,32,1,2,False
2_supramarginal_thickness_rh,Giro supramarginal,rh,thickness,EntropyRatio_NI,36,0.2198044152658564,0.21903713541967879,-0.14190278416096663,0.49554292776592784,Edad+Genero+Grupo,0.1834838767422175,17,0.45119270612661644,19,thickness_EntropyRatio_NI,B,0.6010247887081233,False,32,2,2,True
2_supramarginal_area_lh,Giro supramarginal,lh,area,CSE_NI,36,-0.1689935146271349,0.35516794126960505,-0.5118915724640748,0.22686872054385845,Edad+Genero+Grupo+eTIV,-0.39012177092600475,17,-0.0742305340043578,19,area_CSE_NI,B,0.7576916080418241,False,32,2,2,True
2_supramarginal_area_lh,Giro supramarginal,lh,area,EntropyRatio_NI,36,-0.16677186078698356,0.361620484048012,-0.4915823177135085,0.16613465064892075,Edad+Genero+Grupo+eTIV,-0.3527048890652927,17,-0.04951263797960911,19,area_EntropyRatio_NI,B,0.9322826549021819,False,32,2,2,True
2_supramarginal_area_rh,Giro supramarginal,rh,area,CSE_NI,36,0.24722718452909562,0.172513208191518,-0.11504550012852685,0.5971977333885675,Edad+Genero+Grupo+eTIV,0.43138112842492987,17,0.12116860563965506,19,area_CSE_NI,B,0.6661314904520594,False,32,2,2,True
2_supramarginal_area_rh,Giro supramarginal,rh,area,EntropyRatio_NI,36,0.3232420934290814,0.07114080841965914,0.03970795378796352,0.5984080010257838,Edad+Genero+Grupo+eTIV,0.582238729398036,17,0.11074677516224667,19,area_EntropyRatio_NI,B,0.7588352898096975,False,32,2,2,True
2_supramarginal_volume_lh,Giro supramarginal,lh,volume,CSE_NI,36,-0.09662302279445481,0.5988397869440669,-0.42416598427561353,0.24170071085826236,Edad+Genero+Grupo+eTIV,-0.27773488064142354,17,-0.005836314728606634,19,volume_CSE_NI,B,0.9567684641457884,False,86,2,2,True
2_supramarginal_volume_lh,Giro supramarginal,lh,volume,EntropyRatio_NI,36,-0.07611904342100123,0.6788269454340037,-0.36422099778614503,0.17666122566552186,Edad+Genero+Grupo+eTIV,-0.2908981987438651,17,0.13583171736119773,19,volume_EntropyRatio_NI,B,0.9833513990742859,False,86,1,2,False
2_supramarginal_volume_rh,Giro supramarginal,rh,volume,CSE_NI,36,0.2861511191253563,0.1123502584507057,-0.11046507106441615,0.5973732129509757,Edad+Genero+Grupo+eTIV,0.3149914402035047,17,0.313793558828032,19,volume_CSE_NI,B,0.9567684641457884,False,86,2,2,True
2_supramarginal_volume_rh,Giro supramarginal,rh,volume,EntropyRatio_NI,36,0.31003820593752607,0.0841845441294646,0.02551113801967038,0.6018818886445187,Edad+Genero+Grupo+eTIV,0.5948285605614078,17,0.25739571009011863,19,volume_EntropyRatio_NI,B,0.811435056355067,False,86,2,2,True
2_supramarginal_LGI_lh,Giro supramarginal,lh,LGI,CSE_NI,35,0.19630861951175255,0.2815569584391517,-0.14123135878214874,0.4938656017023821,Edad+Genero+Grupo,0.2311171827983306,17,0.2876205656195976,18,LGI_CSE_NI,B,0.6900426619345573,False,32,2,2,True
2_supramarginal_LGI_lh,Giro supramarginal,lh,LGI,EntropyRatio_NI,35,0.0020300329395404036,0.9912021415497453,-0.32568061808616927,0.36573808938326974,Edad+Genero+Grupo,0.07871733773681634,17,0.02629664065106345,18,LGI_EntropyRatio_NI,B,0.9912021415497453,False,32,2,2,True
2_supramarginal_LGI_rh,Giro supramarginal,rh,LGI,CSE_NI,35,-0.06320626683482455,0.7310966181140639,-0.37522686757960594,0.2578106328059641,Edad+Genero+Grupo,-0.15444102147940508,17,0.2253025404750109,18,LGI_CSE_NI,B,0.8993563634817304,False,32,1,2,False
