diseno,outcome,medida,hemi,n_clusters,CWP_min,size_mm2_max,fwhm_residual,pico
nav_global_CSE,CSE_NI,thickness,lh,0,,,14.612695,
nav_global_CSE,CSE_NI,thickness,rh,0,,,14.582823,
nav_global_CSE,CSE_NI,area,lh,0,,,20.916597,
nav_global_CSE,CSE_NI,area,rh,0,,,21.186234,
nav_global_CSE,CSE_NI,volume,lh,0,,,14.781684,
nav_global_CSE,CSE_NI,volume,rh,0,,,14.814718,
nav_global_CSE,CSE_NI,pial_lgi,lh,0,,,10.501551,
nav_global_CSE,CSE_NI,pial_lgi,rh,0,,,10.465368,
nav_global_EntRatio,EntropyRatio_NI,thickness,lh,0,,,14.587702,
nav_global_EntRatio,EntropyRatio_NI,thickness,rh,0,,,14.567006,
nav_global_EntRatio,EntropyRatio_NI,area,lh,0,,,20.906299,
nav_global_EntRatio,EntropyRatio_NI,area,rh,1,0.00599,413.35,21.20621,rostralmiddlefrontal
nav_global_EntRatio,EntropyRatio_NI,volume,lh,0,,,14.774595,
nav_global_EntRatio,EntropyRatio_NI,volume,rh,0,,,14.813051,
nav_global_EntRatio,EntropyRatio_NI,pial_lgi,lh,0,,,10.490423,
nav_global_EntRatio,EntropyRatio_NI,pial_lgi,rh,0,,,10.500925,
nav_pac_CSE,CSE_NI,thickness,lh,0,,,14.525886,
nav_pac_CSE,CSE_NI,thickness,rh,0,,,14.446089,
nav_pac_CSE,CSE_NI,area,lh,0,,,20.138123,
nav_pac_CSE,CSE_NI,area,rh,0,,,20.932533,
nav_pac_CSE,CSE_NI,volume,lh,0,,,14.505815,
nav_pac_CSE,CSE_NI,volume,rh,0,,,14.615163,
nav_pac_CSE,CSE_NI,pial_lgi,lh,0,,,10.586798,
nav_pac_CSE,CSE_NI,pial_lgi,rh,0,,,10.405803,
nav_pac_EntRatio,EntropyRatio_NI,thickness,lh,0,,,14.469328,
nav_pac_EntRatio,EntropyRatio_NI,thickness,rh,0,,,14.428153,
nav_pac_EntRatio,EntropyRatio_NI,area,lh,0,,,20.190628,
nav_pac_EntRatio,EntropyRatio_NI,area,rh,0,,,20.941199,
nav_pac_EntRatio,EntropyRatio_NI,volume,lh,0,,,14.513143,
nav_pac_EntRatio,EntropyRatio_NI,volume,rh,0,,,14.600822,
nav_pac_EntRatio,EntropyRatio_NI,pial_lgi,lh,0,,,10.573109,
nav_pac_EntRatio,EntropyRatio_NI,pial_lgi,rh,0,,,10.474338,
sev_pac_Niigata,Niigata,thickness,lh,0,,,13.919812,
sev_pac_Niigata,Niigata,thickness,rh,0,,,13.776745,
sev_pac_Niigata,Niigata,area,lh,0,,,19.745792,
sev_pac_Niigata,Niigata,area,rh,0,,,20.867506,
sev_pac_Niigata,Niigata,volume,lh,0,,,14.231171,
sev_pac_Niigata,Niigata,volume,rh,0,,,14.466598,
sev_pac_Niigata,Niigata,pial_lgi,lh,0,,,10.113967,
sev_pac_Niigata,Niigata,pial_lgi,rh,0,,,10.15986,
sev_pac_DHI,DHI,thickness,lh,1,0.0008,336.17,13.838914,postcentral
sev_pac_DHI,DHI,thickness,rh,2,0.0002,487.88,13.680606,superiortemporal
sev_pac_DHI,DHI,area,lh,0,,,19.727938,
sev_pac_DHI,DHI,area,rh,0,,,20.796304,
sev_pac_DHI,DHI,volume,lh,0,,,14.183196,
sev_pac_DHI,DHI,volume,rh,1,0.0004,321.72,14.374623,transversetemporal
sev_pac_DHI,DHI,pial_lgi,lh,0,,,10.067215,
sev_pac_DHI,DHI,pial_lgi,rh,0,,,10.106949,
