variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,media_MPPP,media_Vestibular,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,alcance,metodo,medida,n_rois,etapa,familia_fdr,ajusta_etiv,roi,hemi,modelo,p_fdr,sobrevive_fdr,n_familia
idx_alta_z_LGI,35,"Q('idx_alta_z_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",7.125398051910977,1,30,0.012146501881714265,0.017929018963698747,0.011698830116988301,0.19192785601780793,0.0029393034189581727,0.43937728006335985,0.069482350824186,0.6170902123361378,0.9217779008451726,18,17,-0.2778855452990151,0.24013564342036128,-0.5295727637236295,-0.9146100402122772,-1.6432586673510399,-0.007176555819949813,0.012146501881714239,alta,z,LGI,14,C1,alta_z,False,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.046795320467953205,True,4
idx_alta_z_thickness,36,"Q('idx_alta_z_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.01541937071097485,1,31,0.901978596351583,0.9062476558505108,0.8985101489851015,0.0004971517723708724,4.08754439912391e-09,0.003592970679921736,0.9620897789439782,0.9384352566276029,0.9731811296772536,19,17,-0.10109525124231045,-0.04660945597166908,-0.021358267558543254,-0.04205514570026069,-0.7609744987056061,0.6958768098120243,0.9019785963515651,alta,z,thickness,14,C1,alta_z,False,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.8985101489851015,False,4
idx_alta_z_volume,36,"Q('idx_alta_z_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",1.1890844562726153,1,30,0.28419567796006906,0.3325142273772244,0.28957104289571045,0.038125019602281776,5.934209371915153e-06,0.19464482861251067,0.401065531261771,0.9684800337483251,0.23691526033109017,19,17,-0.19179294911807665,0.02610888822126847,-0.13487931935963896,-0.37109027211971707,-0.9795045055145717,0.5242129452561175,0.2841956779600699,alta,z,volume,16,C1,alta_z,True,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.5332800053328001,False,4
idx_alta_z_area,36,"Q('idx_alta_z_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",0.7184608012073173,1,30,0.4033612440774817,0.41061838441999304,0.3999600039996,0.0233885677364108,4.013727224469824e-06,0.16022004087668482,0.623315521220986,0.6831822922719293,0.027889763876811288,19,17,-0.14162336496177652,0.0382486114844042,-0.10054604376033943,-0.28845279925587974,-0.893656346058678,0.5571300385885061,0.4033612440774824,alta,z,area,14,C1,alta_z,True,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.5332800053328001,False,4
idx_alta_pca_LGI,35,"Q('idx_alta_pca_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",7.531706993053408,1,30,0.010136762700066214,0.014963218345350882,0.0100989901009899,0.200675844411964,0.007079666033501955,0.4540529201556944,0.0555837180934713,0.601743631426265,0.914554080580395,18,17,-1.065228628870637,0.9103306570025183,-2.0158445679305474,-0.9403252699970052,-1.7311117746641038,-0.026615797405014366,0.010136762700066245,alta,pca,LGI,14,C1,alta_pca,False,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.0403959604039596,True,4
idx_alta_pca_thickness,36,"Q('idx_alta_pca_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.0003862256417300738,1,31,0.9844464335802461,0.9853710388539763,0.9856014398560144,1.2458736446664337e-05,6.223909938015007e-11,8.670422992975299e-06,0.8866108981521987,0.6358334204868269,0.7666950034442983,19,17,-0.33129445730683577,-0.20306724540836676,0.01358876620534244,0.00665589356864235,-0.7206349880371975,0.7443800192872712,0.9844464335804408,alta,pca,thickness,14,C1,alta_pca,False,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.9856014398560144,False,4
idx_alta_pca_volume,36,"Q('idx_alta_pca_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",1.1949400087985875,1,30,0.283035761388634,0.32942580534812843,0.27847215278472154,0.038305571623524604,1.3631593728870563e-05,0.1955367704658811,0.401065531261771,0.8885372197748329,0.19511902756874364,19,17,-0.7892841357446736,0.09602966564854401,-0.5493758315555066,-0.3720028523906982,-0.9783372985108819,0.4910712892209324,0.28303576138863507,alta,pca,volume,16,C1,alta_pca,True,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.5122154451221544,False,4
idx_alta_pca_area,36,"Q('idx_alta_pca_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",0.7545311466282033,1,30,0.3919417011254,0.3982722747910435,0.38416158384161586,0.024533983074911125,1.6590884770468864e-06,0.1676385952658939,0.7633903885467929,0.5401006867842595,0.04772836443959358,19,17,-0.5503924592105754,0.14722467996135763,-0.3930341838595792,-0.2956050197764697,-0.9136497488560825,0.48891287724820515,0.39194170112539967,alta,pca,area,14,C1,alta_pca,True,Red DCNN (alta),bilat,dirigido_MPPP_vs_Vest,0.5122154451221544,False,4
idx_alta_media_z_LGI,35,"Q('idx_alta_media_z_LGI') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",4.844047699660867,1,30,0.03557686461266005,0.04522915269727125,0.0344965503449655,0.13902080898907773,0.0005349814127459915,0.3903733987264919,0.16568383891299746,0.9561307111032102,0.6771058440395475,18,17,-0.24254983936435454,0.20357213893817344,-0.45065861392316653,-0.7541115712270391,-1.4435181928499723,0.15681851894936985,0.03557686461266017,alta+media,z,LGI,32,C1,alta+media_z,False,Red DCNN (alta+media),bilat,dirigido_MPPP_vs_Vest,0.137986201379862,False,4
idx_alta_media_z_thickness,36,"Q('idx_alta_media_z_thickness') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional",0.16720490653901776,1,31,0.6854192339719657,0.7147840556047904,0.682031796820318,0.005364770663279382,3.824984411284376e-08,0.05769041756373716,0.5577280486714316,0.24073158831451907,0.6778896589910209,19,17,-0.06513477763842845,-0.08003492025132154,0.0742388918374392,0.13848742039237097,-0.6159752467668462,0.8923411718878878,0.6854192339719619,alta+media,z,thickness,32,C1,alta+media_z,False,Red DCNN (alta+media),bilat,dirigido_MPPP_vs_Vest,0.682031796820318,False,4
idx_alta_media_z_volume,36,"Q('idx_alta_media_z_volume') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",1.8452629245742873,1,30,0.1844632881861676,0.2647905409476405,0.18668133186681332,0.05794465974248053,2.0470406327144785e-05,0.25526430919458953,0.4190720324181101,0.7337639976950965,0.8704670174207499,19,17,-0.20096909223620157,0.0027020637081299993,-0.12339497042514176,-0.46227706437171184,-1.1681210654466525,0.4925441325467036,0.18446328818616942,alta+media,z,volume,40,C1,alta+media_z,True,Red DCNN (alta+media),bilat,dirigido_MPPP_vs_Vest,0.24890844248908442,False,4
idx_alta_media_z_area,36,"Q('idx_alta_media_z_area') ~ C(Grupo, Treatment(reference='Vestibular')) + Edad + C(Genero) + N_Educacional + eTIV",1.8067035158510882,1,30,0.18898137636131807,0.23771431812465357,0.18638136186381363,0.05680260184620217,1.1435467905452412e-05,0.25638072138165807,0.623315521220986,0.6419960621037148,0.8430486862465694,19,17,-0.1547466834395804,0.023437483351380135,-0.12163528201017487,-0.45742159465324467,-1.1921255517116707,0.45678328028075244,0.1889813763613192,alta+media,z,area,32,C1,alta+media_z,True,Red DCNN (alta+media),bilat,dirigido_MPPP_vs_Vest,0.24890844248908442,False,4
