variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,alcance,metodo,medida,n_rois,etapa,familia_fdr,ajusta_etiv,roi,hemi,modelo,p_fdr,sobrevive_fdr,n_familia
idx_alta_z_LGI,45,"Q('idx_alta_z_LGI') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",3.776613585420555,2,39,0.03167662340068864,0.04791850612469444,0.029597040295970403,0.1622492709930133,0.006824095865048954,0.34783240719590736,0.2084197521672925,0.5969124306844055,0.8470435474649635,18,17,10,-0.2778855452990151,0.24013564342036128,0.040161268851673176,-0.0921296100981875,-0.15674161391291797,-1.1018024194963125,0.8813340038926214,0.70734932349561,-0.5282976887683207,-0.898801506657414,-1.5504119014788638,-0.0006900729152851813,0.01215534025830633,alta,z,LGI,14,C1,alta_z,False,Red DCNN (alta),bilat,A_sin_ansiedad,0.11838816118388161,False,4
idx_alta_z_thickness,46,"Q('idx_alta_z_thickness') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.52769211154301,2,40,0.5940149955717103,0.6652966468837782,0.5931406859314069,0.025706353577189582,0.0001418659307254378,0.10591896666739417,0.5349032516352281,0.8259470064589951,0.8623382475743582,19,17,10,-0.10109525124231045,-0.04660945597166908,0.2604198934580944,-0.21980843307289888,-0.41792199570342276,-1.4347444824837297,0.4152417001956289,0.3193159868610055,-0.0440292208145136,-0.08371280198319614,-0.7462922995522623,0.641027156485832,0.8054980310193102,alta,z,thickness,14,C1,alta_z,False,Red DCNN (alta),bilat,A_sin_ansiedad,0.5931406859314069,False,4
idx_alta_z_volume,46,"Q('idx_alta_z_volume') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.709992099895729,2,39,0.49789196590389995,0.5731873913256563,0.504049595040496,0.035130746038213055,0.00010952775535809481,0.12393298532020751,0.37671390601611837,0.16668489237834522,0.5228248945496248,19,17,10,-0.19179294911807665,0.02610888822126847,0.27644112588031955,0.004511329875785175,0.012019784197793985,-0.9350956711100508,0.8788318082329151,0.977191648747366,-0.13536072047211628,-0.36064900899085317,-0.9485809181369965,0.4312797322329598,0.2934453043036757,alta,z,volume,16,C1,alta_z,True,Red DCNN (alta),bilat,A_sin_ansiedad,0.5931406859314069,False,4
idx_alta_z_area,46,"Q('idx_alta_z_area') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.2393671205584411,2,39,0.30072025673324276,0.4764063424713074,0.29627037296270375,0.059759158191953016,0.0004724262370691802,0.21708905578330884,0.6491322488051531,0.3024635434436317,0.1950308728383592,19,17,10,-0.14162336496177652,0.0382486114844042,0.1680873586146523,0.14761095260093537,0.4042868528910671,-0.55498416187745,1.3592811125412794,0.3391011132725861,-0.08775220334992534,-0.24034166504236393,-0.8753416547379428,0.4923302459499683,0.48211119202401725,alta,z,area,14,C1,alta_z,True,Red DCNN (alta),bilat,A_sin_ansiedad,0.5925407459254075,False,4
idx_alta_pca_LGI,45,"Q('idx_alta_pca_LGI') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",3.919128324576517,2,39,0.0281219711605604,0.040516342431343916,0.027797220277972202,0.16734731840824763,0.004322905391623458,0.3493323458293442,0.16466752387659545,0.4497968988006749,0.7794350729439513,18,17,10,-1.065228628870637,0.9103306570025183,0.17229348647555037,-0.3942285245888117,-0.18036885832064986,-1.1426122825197549,0.8689658552695778,0.6658276523190567,-2.0118286522307116,-0.9204591106595019,-1.5992619874207268,-0.04534032069964319,0.010370939747300953,alta,pca,LGI,14,C1,alta_pca,False,Red DCNN (alta),bilat,A_sin_ansiedad,0.11118888111188881,False,4
idx_alta_pca_thickness,46,"Q('idx_alta_pca_thickness') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.35876463048442103,2,40,0.7007635170617809,0.7471855424946358,0.7030296970302969,0.017622121823011837,2.742754488069611e-05,0.07371834764615838,0.7333768630145175,0.758117927751728,0.8662717844262233,19,17,10,-0.33129445730683577,-0.20306724540836676,0.9490283436975178,-0.6924682854004639,-0.33335313400000843,-1.2950366071230253,0.4968868809639327,0.4259453022927454,-0.06930977819455952,-0.03336561726381467,-0.7346651067818394,0.7129399165794276,0.9217931065532621,alta,pca,thickness,14,C1,alta_pca,False,Red DCNN (alta),bilat,A_sin_ansiedad,0.7030296970302969,False,4
idx_alta_pca_volume,46,"Q('idx_alta_pca_volume') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",0.6474031963944843,2,39,0.5289357302821247,0.5806481066347716,0.5289471052894711,0.032133332027143906,3.579514012770877e-05,0.11036471621666255,0.34643922036360836,0.10842510943083578,0.48476163761427643,19,17,10,-0.7892841357446736,0.09602966564854401,1.1593266660337125,-0.0529667054232813,-0.03453322615094364,-1.0308105941807675,0.82538438375664,0.9345380783614566,-0.5513862756502118,-0.35949275684392207,-0.9656304620678093,0.39074635642173317,0.2949737749555833,alta,pca,volume,16,C1,alta_pca,True,Red DCNN (alta),bilat,A_sin_ansiedad,0.7030296970302969,False,4
idx_alta_pca_area,46,"Q('idx_alta_pca_area') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional + eTIV",1.1351972559470553,2,39,0.3317467975093929,0.4980220165606049,0.33026697330266974,0.05501266800926227,0.0001414936104188888,0.21591063076977332,0.6934824589870188,0.35455697500218925,0.2557908079932051,19,17,10,-0.5503924592105754,0.14722467996135763,0.6559402887313993,0.506143641503508,0.36554979381154995,-0.559461277887862,1.3309524946211868,0.3868868174313699,-0.3449125198461036,-0.2491045825217414,-0.849845843238744,0.44945533158250894,0.466388947752947,alta,pca,area,14,C1,alta_pca,True,Red DCNN (alta),bilat,A_sin_ansiedad,0.6605339466053395,False,4
idx_alta_media_z_LGI,45,"Q('idx_alta_media_z_LGI') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",2.7698826290275567,2,39,0.07501969996005124,0.11635541978165864,0.07729227077292271,0.12437796261293124,0.0012628622220346925,0.3136283551376789,0.34779933737007274,0.840289049985311,0.8817437540179663,18,17,10,-0.24254983936435454,0.20357213893817344,0.04590487683069164,-0.11028235940993433,-0.1923348684625211,-1.017876511106344,0.8093832398541908,0.6451882090635067,-0.44863242823015237,-0.7824248550117158,-1.4837064660656356,0.09605643420448716,0.02754217962843063,alta+media,z,LGI,32,C1,alta+media_z,False,Red DCNN (alta+media),bilat,A_sin_ansiedad,0.30916908309169083,False,4
idx_alta_media_z_thickness,46,"Q('idx_alta_media_z_thickness') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.5489673924143239,2,40,0.5818350145294559,0.6279056684228025,0.5766423357664233,0.02671508411741292,9.582642866635887e-05,0.10464408099517018,0.49050938376731834,0.3538150551054974,0.78830904552632,19,17,10,-0.06513477763842845,-0.08003492025132154,0.26279547046283774,-0.18717489023233197,-0.33756663114561397,-1.3640269616794283,0.5407782164357049,0.42016748674298154,0.04750554137269397,0.08567541053195625,-0.6587827985995737,0.8715564599943656,0.8010361763056563,alta+media,z,thickness,32,C1,alta+media_z,False,Red DCNN (alta+media),bilat,A_sin_ansiedad,0.5766423357664233,False,4
