medida,grupo,n,media_z,r_medio
LGI,Voluntario Sano,10,0.6007665032511654,0.5375947691271549
LGI,Vestibular,18,0.45978195952581824,0.42990648574036155
LGI,MPPP,17,0.47018398425107677,0.438347958692651
thickness,Voluntario Sano,10,0.28366206378760417,0.2762910051411618
thickness,Vestibular,19,0.2970689595243958,0.2886280244305616
thickness,MPPP,17,0.23501720168681825,0.2307837983520115
volume,Voluntario Sano,10,0.2984499887818707,0.28989350024829674
volume,Vestibular,19,0.275873289504097,0.26908143135049606
volume,MPPP,17,0.12631550516522583,0.12564795181630656
area,Voluntario Sano,10,0.1863077854948442,0.18418168216747316
area,Vestibular,19,0.2195192526665444,0.21605980396373328
area,MPPP,17,-0.015896157157288468,-0.01589481837088059
