variable,n,formula,F,df_num,df_den,p_param,p_hc3,p_perm,eta2p,eta2p_ic_low,eta2p_ic_high,p_kw,shapiro_p,levene_p,n_Vestibular,n_MPPP,n_Voluntario Sano,media_MPPP,media_Vestibular,media_Voluntario Sano,MPPP_vs_VoluntarioSano_dif,MPPP_vs_VoluntarioSano_d,MPPP_vs_VoluntarioSano_d_ic_low,MPPP_vs_VoluntarioSano_d_ic_high,MPPP_vs_VoluntarioSano_p,MPPP_vs_Vestibular_dif,MPPP_vs_Vestibular_d,MPPP_vs_Vestibular_d_ic_low,MPPP_vs_Vestibular_d_ic_high,MPPP_vs_Vestibular_p,etapa,roi_n,roi,hemi,medida,familia_fdr,ajusta_etiv,prioridad,modelo,p_fdr,sobrevive_fdr,n_familia
AI_1_LGI,45,"Q('AI_1_LGI') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.0140058646151964,2,39,0.9860967187319672,0.9884245432111293,0.9872012798720128,0.0007177339554147247,3.0799986942214146e-05,0.0004351879468671021,0.7802591246550473,0.5647499873233542,0.32717405881341804,18,17,10.0,-0.006767198685599912,-0.009177367045430186,-0.011136273304659414,0.0010285468031724662,0.05026475397365387,-0.7305741239911069,0.8152464925503652,0.9040950815623141,0.0010877093881380413,0.05315601061707311,-0.7074174332123242,0.8277477127222892,0.8771923069780125,C3,1,Ínsula posterior,AI,LGI,LGI,False,alta,A_tres_grupos,0.9872012798720128,False,16
AI_1_area,46,"Q('AI_1_area') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.26789033721118516,2,40,0.7663532388890563,0.794432840110941,0.7653234676532347,0.013217475166586393,2.147344581257872e-05,0.04692566392080297,0.3498107409228113,0.06512911724005045,0.6622065308385936,19,17,10.0,0.09022428680637795,0.0971175973597995,0.10265344592254814,-0.008339127933455426,-0.2828188851534519,-1.2741071803775175,0.9341110186034235,0.4989051644986316,-0.005258452723209102,-0.17833876020101963,-0.8163141635092296,0.4975787576452401,0.6003701920479302,C3,1,Ínsula posterior,AI,area,area,False,alta,A_tres_grupos,0.8722127787221278,False,16
AI_1_thickness,46,"Q('AI_1_thickness') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.2745232234257292,2,40,0.7613544859558434,0.8267706389863548,0.7646235376462354,0.013540304765763256,0.00011891846228747785,0.059117683070870786,0.845553074843979,0.6097816628356255,0.43001194886960786,19,17,10.0,-0.015416167259570117,-0.011756473598181046,-0.016449449499759693,-0.001683221960847527,-0.0944221123780187,-0.8870050841222894,0.7243563022631735,0.8209359468756013,-0.004427110705692695,-0.2483434474395567,-1.0065799675903682,0.5710184100415371,0.4664142053464682,C3,1,Ínsula posterior,AI,thickness,thickness,False,alta,A_tres_grupos,0.9040238833259532,False,16
AI_1_volume,46,"Q('AI_1_volume') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.0951954275210307,2,40,0.34429352232749255,0.46483194848205495,0.3414658534146585,0.05191681827665016,6.271097437048325e-05,0.19179719282920585,0.18441643392961557,0.2586034786101394,0.9193242160884953,19,17,10.0,0.06573157717109322,0.07563697445132207,0.08285982054459909,-0.018040168557972018,-0.6031164116163849,-1.5717744653440924,0.8618507937336387,0.15339611251444482,-0.008672670909219358,-0.2899435302441647,-0.9566191750998659,0.4139827586848012,0.3957139055390489,C3,1,Ínsula posterior,AI,volume,volume,False,alta,A_tres_grupos,0.8090857580908577,False,20
AI_10_LGI,45,"Q('AI_10_LGI') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.025381340594546598,2,39,0.9749541481328792,0.9725033302154901,0.9754024597540246,0.0012999152309397988,4.624196343831199e-06,0.0011569290778265973,0.9419661643203041,0.9501382952041569,0.8365247470686841,18,17,10.0,-0.002224394519611031,-0.0022948968411017033,-0.004356373690015207,0.0012883453273561667,0.07608329437866058,-0.6784485385328728,0.8454417549119408,0.8553021667616587,-0.0002412211382015275,-0.014245325751135879,-0.725093859260272,0.7267742191606756,0.9669623244520646,C3,10,Parietal inferior,AI,LGI,LGI,False,media,A_tres_grupos,0.9872012798720128,False,16
AI_10_area,46,"Q('AI_10_area') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.1860911680011303,2,40,0.8309125261698788,0.8741922973098427,0.8301169883011699,0.00921878170728372,2.8690486880956187e-05,0.028192391804458903,0.6463695586473754,0.46539947047500907,0.09315555823214342,19,17,10.0,-0.07507549051170927,-0.06494410977897229,-0.07167876360444872,-0.010006310561831645,-0.1942280004861977,-1.1776778369690117,0.741757225312642,0.6418578292222454,-0.009602423053700144,-0.18638832145155312,-0.8955702173968937,0.6719968246779497,0.584085841855142,C3,10,Parietal inferior,AI,area,area,False,media,A_tres_grupos,0.8722127787221278,False,16
AI_10_thickness,46,"Q('AI_10_thickness') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.085543469999647,2,40,0.3474592906113895,0.43828480584741486,0.34326567343265674,0.051482830952123665,9.76805470580487e-05,0.19215525344946996,0.2381206867756564,0.47987769510216705,0.28799835112708366,19,17,10.0,0.0016000162727198028,-0.0019330041151779543,-0.004723483960362333,0.006540604371026109,0.5963434132443441,-0.39581045065149173,1.597615408288891,0.15794859357444166,0.0033147912893249165,0.3022280265758563,-0.5783879408563362,1.1218738943360826,0.3761900820739138,C3,10,Parietal inferior,AI,thickness,thickness,False,media,A_tres_grupos,0.9040238833259532,False,16
AI_10_volume,46,"Q('AI_10_volume') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",0.19377132342438644,2,40,0.82461500715665,0.8818984084421213,0.825917408259174,0.009595598579430056,2.7304853458063847e-06,0.03506620355332938,0.7001609903635988,0.13272545734721225,0.04822735060636088,19,17,10.0,-0.07799356257742623,-0.06949191319748621,-0.07392899964631056,-0.012635777555920782,-0.23659986956977688,-1.2907907464732198,0.7736833517114948,0.5712618118040551,-0.008405394839977896,-0.15738764900062585,-0.869228784645403,0.6741861116511287,0.6437217217483371,C3,10,Parietal inferior,AI,volume,volume,False,media,A_tres_grupos,0.9397949093979491,False,20
AI_11_LGI,45,"Q('AI_11_LGI') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",1.097759575231896,2,39,0.34370450301289845,0.31985781557121135,0.34156584341565843,0.053295096062385076,0.00039190821319556553,0.1558859341344983,0.4354949225275422,0.1733812142372989,0.483804902357507,18,17,10.0,0.0011916385044590163,-0.00875000517579898,-0.0024271451435482426,0.006561743686561848,0.3247535882321543,-0.6659726509196309,1.2164421671106025,0.43803828874462464,0.01015157683779656,0.5024214845575994,-0.22656013484980353,1.1349413645662692,0.14952850525542655,C3,11,Occipital lateral,AI,LGI,LGI,False,media,A_tres_grupos,0.7415258474152585,False,16
AI_11_area,46,"Q('AI_11_area') ~ C(Grupo, Treatment(reference='Voluntario Sano')) + Edad + C(Genero) + N_Educacional",2.9929434791840084,2,40,0.06147640717401666,0.15429927433960755,0.058694130586941305,0.13016791355546029,0.0021137432620485473,0.3446173989569786,0.19907853190948152,0.8735126224653458,0.12120558270410511,19,17,10.0,-0.004595317251610771,0.016635598597844282,-0.011243476540515902,0.017538014791660665,0.4300379797883142,-0.7251411688805136,1.386207779293708,0.30566454104831653,-0.02163071824193613,-0.5303924352119699,-1.141241418427898,0.20385615397720352,0.12417410101946422,C3,11,Occipital lateral,AI,area,area,False,media,A_tres_grupos,0.8722127787221278,False,16
