region,atlas,hemi,n,d,ic_low,ic_high,p_perm
supramarginal,DKT,lh,35,-0.8774349136109699,-1.543988508377404,-0.10930623731547073,0.016196760647870425
supramarginal,DKT,rh,35,-0.7833650780084659,-1.4199102969103927,0.1221399361674813,0.03099380123975205
supramarginal,DK,lh,35,-0.8831448691006141,-1.5511435135215068,-0.1354695703448842,0.015796840631873626
supramarginal,DK,rh,35,-0.770391669704893,-1.4232142728621602,0.12795893725453417,0.033993201359728054
supramarginal,DS,lh,35,-0.8031627369350652,-1.4422984226716005,-0.037832226133814054,0.02579484103179364
supramarginal,DS,rh,35,-0.8977350662428948,-1.5112823344046644,0.036347894684437755,0.016396720655868825
superiortemporal,DKT,lh,35,-0.9384752398599553,-1.7547553742346824,-0.10417393696897934,0.014797040591881624
superiortemporal,DKT,rh,35,-1.0351720093413375,-1.7496253330500267,-0.22903646709646813,0.00599880023995201
superiortemporal,DK,lh,35,-0.9833361143800166,-1.7987888730762511,-0.177731773369458,0.010997800439912017
superiortemporal,DK,rh,35,-1.0901362889031754,-1.7613417323069298,-0.3179828301105838,0.004399120175964807
superiortemporal,DS,lh,35,-0.9584109762584153,-1.7462848842795977,-0.1450879567226185,0.013197360527894421
superiortemporal,DS,rh,35,-1.0283295901370237,-1.7245673926410134,-0.24184791272115283,0.005398920215956809
parahippocampal,DKT,lh,35,-0.850240789690656,-1.6508132213556181,0.07243234881779488,0.018196360727854428
parahippocampal,DKT,rh,35,-0.4256135268678007,-1.1446199595561528,0.350449778671159,0.23015396920615877
parahippocampal,DK,lh,35,-0.8362498327195735,-1.6399302560154307,0.07736891582058182,0.01979604079184163
parahippocampal,DK,rh,35,-0.4191815366090455,-1.1458655165656026,0.36316310639149046,0.2375524895020996
parahippocampal,DS,lh,35,-0.6099761572457403,-1.3176169075166517,0.2868892210204816,0.09478104379124175
parahippocampal,DS,rh,35,-0.39491104621279527,-1.118468143966531,0.4946515233976534,0.26854629074185166
precuneus,DKT,lh,35,-0.38852677472895397,-1.0872662417640193,0.3295298138237874,0.27454509098180363
precuneus,DKT,rh,35,-0.18553147805316578,-0.8944560012809111,0.6375562822919667,0.5956808638272345
precuneus,DK,lh,35,-0.3864392593904555,-1.092461503014051,0.3444297279056944,0.28094381123775247
precuneus,DK,rh,35,-0.19225266643994168,-0.8949319766178749,0.6194083777693622,0.5792841431713657
precuneus,DS,lh,35,-0.3630304536351505,-1.0463113332300764,0.3323298551531531,0.3049390121975605
precuneus,DS,rh,35,-0.10760533855869565,-0.8008619993227365,0.708284569334623,0.7508498300339932
isthmuscingulate,DKT,lh,35,-0.4719208675155477,-1.1765052634702842,0.31200417902915667,0.1827634473105379
isthmuscingulate,DKT,rh,35,-0.43762180033853776,-1.1685100082496023,0.33735097011598625,0.21995600879824034
isthmuscingulate,DK,lh,35,-0.47037070861751656,-1.1677473690428684,0.3233994982479165,0.1833633273345331
isthmuscingulate,DK,rh,35,-0.43769599060658165,-1.177739002570938,0.32120932559625714,0.22055588882223556
isthmuscingulate,DS,lh,35,-0.3780425414738479,-1.1243528910044742,0.3871019932417471,0.28534293141371725
isthmuscingulate,DS,rh,35,-0.27510925679732756,-0.9412666216954866,0.5536593700678492,0.4335132973405319
entorhinal,DKT,lh,35,-0.45295804132273926,-1.160046064030046,0.3671314897193278,0.20595880823835233
entorhinal,DKT,rh,35,-0.39934797099593106,-1.1794244410001835,0.4853137953059311,0.2591481703659268
entorhinal,DK,lh,35,-0.47676001081704644,-1.188258089792023,0.3557481316253971,0.1883623275344931
entorhinal,DK,rh,35,-0.4191793048546155,-1.22280485896193,0.43931244790627993,0.23655268946210758
entorhinal,DS,lh,35,-0.6099761572457403,-1.3176169075166517,0.2868892210204816,0.09478104379124175
entorhinal,DS,rh,35,-0.39491104621279527,-1.118468143966531,0.4946515233976534,0.26854629074185166
precentral,DKT,lh,35,-1.03645439966567,-1.7489577796837674,-0.186009041852138,0.004199160167966407
precentral,DKT,rh,35,-0.4250678142762203,-1.1087792038082902,0.458900872616346,0.22815436912617476
precentral,DK,lh,35,-1.0246127822137894,-1.7303727155309494,-0.15650465805933694,0.004799040191961607
precentral,DK,rh,35,-0.3917152100324228,-1.0693550503430835,0.4830520197542633,0.26614677064587083
precentral,DS,lh,35,-0.9486397434458924,-1.6931344455857593,-0.061874317940218415,0.009198160367926415
precentral,DS,rh,35,-0.33607119976099137,-0.9808272201119645,0.5764245003850506,0.32953409318136373
postcentral,DKT,lh,35,-1.0357621570066313,-1.7477865251668916,-0.24751025923022493,0.0057988402319536095
postcentral,DKT,rh,35,-0.5653794978734985,-1.2654792405649595,0.2977312432129263,0.11197760447910418
postcentral,DK,lh,35,-1.0618129716176308,-1.7982502574030237,-0.24533654191941695,0.004599080183963208
postcentral,DK,rh,35,-0.5700250610357438,-1.2650600282278828,0.32462310194144894,0.10717856428714258
postcentral,DS,lh,35,-1.0938838611429968,-1.8215587737792693,-0.1837165610072836,0.002599480103979204
postcentral,DS,rh,35,-0.4433163720065593,-1.12497116366472,0.4587505503886182,0.20535892821435714
